statement,committer,elicitation
猫は一般的に家庭用ペットとして飼われています。,Amir,Amazon Translate
光は音よりも速く伝わります。,Amir,Amazon Translate
砂糖は水に溶けます。,Amir,Amazon Translate
冬の日は通常、夏の日よりも寒いです。,Amir,Amazon Translate
植物は光合成のために太陽光を必要とします。,Amir,Amazon Translate
ほとんどの成人は32本の歯を持っています。,Amir,Amazon Translate
本は紙から作ることができます。,Amir,Amazon Translate
雨は凝縮した水蒸気から発生します。,Amir,Amazon Translate
車が走るには燃料が必要です。,Amir,Amazon Translate
チェスは四角いボードで行われます。,Amir,Amazon Translate
蓋をしないままにしておくと、パンは古くなります。,Amir,Amazon Translate
月は地球の周りを回っています。,Amir,Amazon Translate
鉄は湿気にさらされると錆びます。,Amir,Amazon Translate
クモには8本の足があります。,Amir,Amazon Translate
象は最大の陸上動物です。,Amir,Amazon Translate
三角形には 3 つの辺があります。,Amir,Amazon Translate
牛乳はチーズを作るのによく使われます。,Amir,Amazon Translate
硬貨は一般的に金属製です。,Amir,Amazon Translate
冷蔵庫は食べ物を冷たく保ちます。,Amir,Amazon Translate
重力は物体を地球に引き寄せます。,Amir,Amazon Translate
靴下は足に着用します。,Amir,Amazon Translate
ミツバチは花から蜜を集めます。,Amir,Amazon Translate
魚はえらを使って水中で呼吸します。,Amir,Amazon Translate
火は熱と光を生み出します。,Amir,Amazon Translate
雲は水滴の目に見える堆積物です。,Amir,Amazon Translate
ダイヤモンドは貴重な宝石とみなされます。,Amir,Amazon Translate
火山は溶岩で噴火することがあります。,Amir,Amazon Translate
米は多くの国で主食です。,Amir,Amazon Translate
アマゾンは大きな熱帯雨林です。,Amir,Amazon Translate
鳥は卵を産むために巣を作ります。,Amir,Amazon Translate
一週間は七日間です。,Amir,Amazon Translate
電話は遠距離にわたって音声を送信します。,Amir,Amazon Translate
プラスチックは一部の施設でリサイクルできます。,Amir,Amazon Translate
りんごは木に生えます。,Amir,Amazon Translate
カンガルーはオーストラリア原産です。,Amir,Amazon Translate
風車は電気を発生させることができます。,Amir,Amazon Translate
人々は民主的な選挙で投票します。,Amir,Amazon Translate
図書館は本を一般に貸している。,Amir,Amazon Translate
列車は鉄道で移動します。,Amir,Amazon Translate
ほとんどの鉛筆にはグラファイトが含まれています。,Amir,Amazon Translate
カメラは写真を撮影します。,Amir,Amazon Translate
サッカーは楕円形のボールで行われます。,Amir,Amazon Translate
アイスクリームは熱にさらされると溶けます。,Amir,Amazon Translate
テレビには動画が表示されます。,Amir,Amazon Translate
飛行機は翼を使って飛ぶ。,Amir,Amazon Translate
じゃがいもは地下で育ちます。,Amir,Amazon Translate
砂糖はほとんどの人にとって甘い味がする。,Amir,Amazon Translate
靴は足を保護します。,Amir,Amazon Translate
イルカは哺乳類であり、魚ではありません。,Amir,Amazon Translate
キーはドアのロックを解除するために使用されます。,Amir,Amazon Translate
パリはフランスの首都です。,Amir,Amazon Translate
衛星は宇宙の惑星を周回します。,Amir,Amazon Translate
松の木は一年中緑のままです。,Amir,Amazon Translate
クラゲは海に住んでいます。,Amir,Amazon Translate
サハラは広大な砂漠です。,Amir,Amazon Translate
停電は電気の流れを止めます。,Amir,Amazon Translate
ひまわりは日光の方に向きを変えます。,Amir,Amazon Translate
自由の女神像はニューヨーク港に立っています。,Amir,Amazon Translate
光が水滴を通過すると虹ができます。,Amir,Amazon Translate
ほとんどのカエルは長距離ジャンプできます。,Amir,Amazon Translate
オオカミは群れをなして狩りをします。,Amir,Amazon Translate
カメは殻が硬い。,Amir,Amazon Translate
地震は構造プレートの移動から生じます。,Amir,Amazon Translate
蝶は変態します。,Amir,Amazon Translate
時計は時間を測定します。,Amir,Amazon Translate
金には黄色の金属光沢があります。,Amir,Amazon Translate
コンパスは基本的な方向を示します。,Amir,Amazon Translate
フクロウは夜行性の鳥です。,Amir,Amazon Translate
ボートは水に浮かぶ。,Amir,Amazon Translate
ピザは人気の食べ物です。,Amir,Amazon Translate
キリンは首が長い。,Amir,Amazon Translate
ろうそくは燃やすと光を放ちます。,Amir,Amazon Translate
竹は成長が早い。,Amir,Amazon Translate
サッカーは丸いボールで行われます。,Amir,Amazon Translate
キノコは菌類であり、植物ではありません。,Amir,Amazon Translate
レーザーは集束した光線を放射します。,Amir,Amazon Translate
万里の長城は中国にあります。,Amir,Amazon Translate
蚊は血を食べるために噛みます。,Amir,Amazon Translate
卵は一般的な朝食用食品です。,Amir,Amazon Translate
馬にはひづめがあります。,Amir,Amazon Translate
石鹸は肌の汚れを取り除きます。,Amir,Amazon Translate
多くの昆虫は完全に変態します。,Amir,Amazon Translate
北極にはホッキョクグマが生息しています。,Amir,Amazon Translate
マップには場所の場所が表示されます。,Amir,Amazon Translate
レインコートは体をドライに保ちます。,Amir,Amazon Translate
雷は背の高い物体に当たることがあります。,Amir,Amazon Translate
水は摂氏0度で凍ります。,Amir,Amazon Translate
犬は一般的な家畜です。,Amir,Amazon Translate
秋になると葉の色が変わります。,Amir,Amazon Translate
紙は木材パルプから作られています。,Amir,Amazon Translate
ほとんどの鳥は卵を産みます。,Amir,Amazon Translate
トマトにはビタミンCが含まれています。,Amir,Amazon Translate
コンピューターはデジタル情報を処理します。,Amir,Amazon Translate
牛は乳製品用の牛乳を生産します。,Amir,Amazon Translate
列車は乗客または貨物を運びます。,Amir,Amazon Translate
自転車はペダルを漕ぐことで動きます。,Amir,Amazon Translate
ハチミツはミツバチが作ります。,Amir,Amazon Translate
海は地球の表面の大部分を覆っています。,Amir,Amazon Translate
山は現地の天候に影響を与える可能性があります。,Amir,Amazon Translate
ほとんどの時計には時刻が表示されます。,Amir,Amazon Translate
脳は体の機能を制御します。,Amir,Amazon Translate
パイナップルの外皮はとがっています。,Amir,Amazon Translate
ほとんどの植物には緑の葉があります。,Amir,Amazon Translate
キリンは一番背の高い動物です。,Amir,Amazon Translate
プラスチックは石油から作られています。,Amir,Amazon Translate
コーヒーにはカフェインが含まれています。,Amir,Amazon Translate
音楽は楽器で作ることができます。,Amir,Amazon Translate
ライオンズは誇りを持って生きています。,Amir,Amazon Translate
ダイヤモンドは高圧下で形成されます。,Amir,Amazon Translate
ロンドンはイギリスにあります。,Amir,Amazon Translate
爬虫類は冷血動物です。,Amir,Amazon Translate
ほとんどの人は毎日3食を食べます。,Amir,Amazon Translate
羽毛はほとんどの鳥を覆っています。,Amir,Amazon Translate
にんじんはベータカロチンが豊富です。,Amir,Amazon Translate
ピーナッツは地下で育ちます。,Amir,Amazon Translate
靴ひもは靴を足に固定します。,Amir,Amazon Translate
火星は赤い惑星として知られています。,Amir,Amazon Translate
バスケットボールは屋内または屋外で行われます。,Amir,Amazon Translate
クジラはブローホールから空気を吸います。,Amir,Amazon Translate
マップはナビゲーションに役立ちます。,Amir,Amazon Translate
鋼は鉄と炭素の合金です。,Amir,Amazon Translate
一部の菌類は枯れた植物を分解します。,Amir,Amazon Translate
キーボードは入力に使用されます。,Amir,Amazon Translate
トラには縞模様の毛皮があります。,Amir,Amazon Translate
ほとんどの飛行機には2つの翼があります。,Amir,Amazon Translate
一部の砂漠には砂丘があります。,Amir,Amazon Translate
自動車エンジンは燃焼を利用して走ります。,Amir,Amazon Translate
虹には複数の可視色があります。,Amir,Amazon Translate
ペンギンは寒い気候に住んでいます。,Amir,Amazon Translate
水素は最も軽い元素です。,Amir,Amazon Translate
ほとんどの哺乳類には毛や毛皮があります。,Amir,Amazon Translate
図書館は情報資源を保管します。,Amir,Amazon Translate
オレンジはジューシーな柑橘系の果物です。,Amir,Amazon Translate
星は光と熱としてエネルギーを放出します。,Amir,Amazon Translate
サルは霊長類です。,Amir,Amazon Translate
ペンギンは飛べません。,Amir,Amazon Translate
川は標高の低いほうに流れています。,Amir,Amazon Translate
サメは歯が鋭い。,Amir,Amazon Translate
サトウキビは熱帯地域で育ちます。,Amir,Amazon Translate
冷たい空気の中で息が見えます。,Amir,Amazon Translate
貝殻はビーチにあります。,Amir,Amazon Translate
インターネットは世界中のコンピュータを接続します。,Amir,Amazon Translate
多くのラップトップにはタッチパッドが搭載されています。,Amir,Amazon Translate
オウムは人間の言葉をまねることができます。,Amir,Amazon Translate
チーターは最速の陸上動物です。,Amir,Amazon Translate
竜巻は激しい嵐の中で発生します。,Amir,Amazon Translate
孔雀にはカラフルな尾羽が見えます。,Amir,Amazon Translate
雨は川や湖を埋め尽くすことがあります。,Amir,Amazon Translate
歯磨き粉は歯をきれいにします。,Amir,Amazon Translate
ぶどうはワインにできる。,Amir,Amazon Translate
バラは花の咲く植物です。,Amir,Amazon Translate
コヨーテは野生の犬です。,Amir,Amazon Translate
イルカはカチッという音と笛でコミュニケーションをとります。,Amir,Amazon Translate
クモの巣は昆虫を捕らえます。,Amir,Amazon Translate
一部のバスは電気で動いています。,Amir,Amazon Translate
コアラはユーカリの葉を食べます。,Amir,Amazon Translate
乗馬は野外活動です。,Amir,Amazon Translate
デスクは作業用のスペースです。,Amir,Amazon Translate
フライトは空港から出発します。,Amir,Amazon Translate
コオロギは夜に鳴き声を上げます。,Amir,Amazon Translate
クジラは長距離でコミュニケーションをとることができます。,Amir,Amazon Translate
三角形は基本的な幾何学的形状です。,Amir,Amazon Translate
シャンプーは髪をきれいにします。,Amir,Amazon Translate
ペンギンは歩くとよちよちよち歩く。,Amir,Amazon Translate
スパゲッティはパスタの一種です。,Amir,Amazon Translate
カメラはビデオと静止画を記録できます。,Amir,Amazon Translate
マウスは小さなげっ歯類です。,Amir,Amazon Translate
ほとんどの市内バスは時刻表に従って運行しています。,Amir,Amazon Translate
膵臓はインスリンを産生します。,Amir,Amazon Translate
チューリップは春の花です。,Amir,Amazon Translate
熱帯雨林の植物は急速に成長します。,Amir,Amazon Translate
蚊は溜まった水に引き寄せられます。,Amir,Amazon Translate
チェスの駒は特定の方法で動きます。,Amir,Amazon Translate
サンゴ礁には多様な海洋生物が生息しています。,Amir,Amazon Translate
クマは冬に冬眠します。,Amir,Amazon Translate
マップはデジタルでも紙でもかまいません。,Amir,Amazon Translate
ラップトップはバッテリーで動作します。,Amir,Amazon Translate
木は水に浮かぶ。,Amir,Amazon Translate
