statement,elicitation,committer
1 más 1 es igual a 2.,Amazon Translate,Amir
5 es significativamente mayor que 1.,Amazon Translate,Amir
"Para mantener una buena salud, se necesita una dieta equilibrada y ejercicio regular.",Amazon Translate,Amir
La pelota es redonda.,Amazon Translate,Amir
Un tirador de bastones no querría sufrir una fractura en un dedo.,Amazon Translate,Amir
Una batería no puede proporcionar energía de forma indefinida.,Amazon Translate,Amir
"Por lo general, nadie quiere una factura.",Amazon Translate,Amir
Un cumpleaños puede inspirar a alguien a hacer un pastel.,Amazon Translate,Amir
Un cumpleaños puede motivar a alguien a comprar un regalo para un ser querido.,Amazon Translate,Amir
Los cristianos suelen adorar en un edificio llamado iglesia.,Amazon Translate,Amir
"Por lo general, a un gato no le gusta bañarse.",Amazon Translate,Amir
A un gato no le gusta que le tiren de la cola.,Amazon Translate,Amir
A los gatos no les gusta estar mojados.,Amazon Translate,Amir
Un gato prefiere no mojarse.,Amazon Translate,Amir
Un gato es una especie de felino.,Amazon Translate,Amir
"Una celebridad es una persona que trabaja duro toda su vida para darse a conocer y, a menudo, usa gafas de sol para evitar ser reconocida.",Amazon Translate,Amir
Un niño no se reiría de la fealdad de su madre.,Amazon Translate,Amir
Un círculo es redondo.,Amazon Translate,Amir
Se puede encender un ordenador pulsando el botón de encendido.,Amazon Translate,Amir
Un virus informático no está vivo.,Amazon Translate,Amir
Un teleadicto debe desarrollar un estilo de vida que promueva la buena salud y el buen estado físico.,Amazon Translate,Amir
"Por lo general, un delito provocaría un juicio.",Amazon Translate,Amir
Un esposo sordo y una esposa ciega a menudo se consideran una pareja armoniosa.,Amazon Translate,Amir
"En una democracia, dos lobos y un corderito pueden votar sobre qué cenar. Sin embargo, en una república constitucional, un cordero bien armado tiene la capacidad de disputar la votación.",Amazon Translate,Amir
"Si uno desea compartir conocimientos, puede optar por enseñar a otros.",Amazon Translate,Amir
Un idioma diferente ofrece una perspectiva diferente de la vida.,Amazon Translate,Amir
Un médico y un granjero tienen más conocimientos combinados que un médico solo.,Amazon Translate,Amir
Un perro no quiere pulgas.,Amazon Translate,Amir
"Un fanático es alguien que está arraigado en su forma de pensar y, a menudo, evita cambiar de tema.",Amazon Translate,Amir
"Algunos dicen lo que piensan, mientras que otros no piensan antes de hablar.",Amazon Translate,Amir
Unos pocos vicios pueden opacar muchas virtudes.,Amazon Translate,Amir
Un tonto interfiere en los asuntos de los demás en lugar de centrarse en los suyos propios.,Amazon Translate,Amir
No debe imponerse la prohibición del fracking.,Amazon Translate,Amir
Algunos estudiantes de primer año de la universidad podrían considerar la posibilidad de abandonar los estudios.,Amazon Translate,Amir
La vejiga llena puede hacer que alguien orine.,Amazon Translate,Amir
El perro de un jardinero no se come el repollo ni permite que nadie más lo haga.,Amazon Translate,Amir
La homofobia no es deseable para una persona gay.,Amazon Translate,Amir
"Una opinión popular no es necesariamente válida o precisa. Del mismo modo, su popularidad no la considera inválida.",Amazon Translate,Amir
"Un gol debe representar un desafío, pero también provocar emoción.",Amazon Translate,Amir
"Una buena risa y un buen sueño suelen ser los mejores remedios, según los médicos.",Amazon Translate,Amir
"Un corredor logístico exitoso debe tener un excelente acceso al agua, el ferrocarril, las carreteras y una gran base de clientes potenciales.",Amazon Translate,Amir
Un buen matrimonio puede ser entre una esposa ciega y un esposo sordo.,Amazon Translate,Amir
Los entusiastas de la salud y los fanáticos del fitness suelen infravalorar las buenas noches de sueño.,Amazon Translate,Amir
Hacer ejercicio con regularidad es un buen método para mantener la salud.,Amazon Translate,Amir
Un grano de arena es extremadamente pequeño.,Amazon Translate,Amir
Un buen jefe no exigiría a los empleados que trabajaran horas extras sin compensación.,Amazon Translate,Amir
Una persona sociable no suele disfrutar de la soledad.,Amazon Translate,Amir
Un matrimonio feliz se siente como una conversación larga e interminable.,Amazon Translate,Amir
"No se puede persuadir a un corazón para que ame, del mismo modo que no se puede persuadir al estómago para que digiera los alimentos.",Amazon Translate,Amir
Un hexágono siempre tiene seis lados.,Amazon Translate,Amir
Una conexión oculta es más fuerte que una conexión obvia.,Amazon Translate,Amir
Un ser humano debe convertir la información en inteligencia o conocimiento. Tendemos a olvidar que ningún ordenador hará nunca una nueva pregunta.,Amazon Translate,Amir
Un marido es un tipo que te avisa cuando te pones demasiado lápiz labial.,Amazon Translate,Amir
La opinión de un abogado no vale nada hasta que se pague.,Amazon Translate,Amir
Una vida de ocio es un reino con menos cuidados de los que requiere un reino.,Amazon Translate,Amir
"Un corazón amoroso mantiene una familia, un corazón odioso la destruye.",Amazon Translate,Amir
Una tasa baja de positividad de COVID debería permitir flexibilizar las restricciones.,Amazon Translate,Amir
Un hombre se encuentra siete años mayor al día siguiente de su matrimonio.,Amazon Translate,Amir
Un hombre tiene cien dólares y tú le quedas con dos. Eso es restar.,Amazon Translate,Amir
Un hombre enamorado no está completo hasta que se casa. Entonces está acabado.,Amazon Translate,Amir
"Un hombre tiene éxito si se levanta por la mañana y se acuesta por la noche y, entre tanto, hace lo que quiere hacer.",Amazon Translate,Amir
Un hombre no es viejo mientras esté buscando algo.,Amazon Translate,Amir
"Un hombre ama más a su novia, a su esposa a la que más ama, pero a su madre por más tiempo.",Amazon Translate,Amir
"Un hombre debe ser más alto, mayor, más pesado, más feo y más ronco que su esposa.",Amazon Translate,Amir
Un hombre que respeta a los grandes allana el camino para su propia grandeza.,Amazon Translate,Amir
Un hombre sin piernas no puede correr.,Amazon Translate,Amir
Un hombre sin oficio es como un árbol sin frutos.,Amazon Translate,Amir
El verdadero carácter de un hombre sale a la luz cuando está borracho.,Amazon Translate,Amir
Los verdaderos secretos de un hombre son más secretos para sí mismo que para los demás.,Amazon Translate,Amir
Una nación puede perder sus libertades en un día y no perderlas en un siglo.,Amazon Translate,Amir
La necesidad de información haría que quisieras conectarte a Internet.,Amazon Translate,Amir
La necesidad de dinero haría que quisieras ganarte la vida.,Amazon Translate,Amir
La aguja está afilada.,Amazon Translate,Amir
Un apodo es la piedra más dura que el diablo puede arrojar a un hombre.,Amazon Translate,Amir
Un número elevado a otro número es generalmente mayor que la suma de esos dos números.,Amazon Translate,Amir
Un uno y un uno son once.,Amazon Translate,Amir
Una parte de la bondad consiste en amar a las personas más de lo que merecen.,Amazon Translate,Amir
Una persona no quiere que la restrinjan.,Amazon Translate,Amir
Una persona no quiere un trabajo aburrido.,Amazon Translate,Amir
Una persona no quiere tener un tumor cerebral.,Amazon Translate,Amir
Una persona no quiere tener un dedo roto.,Amazon Translate,Amir
Una persona no quiere un corazón roto.,Amazon Translate,Amir
Una persona no quiere un virus informático.,Amazon Translate,Amir
Una persona no quiere una mosca en la sopa.,Amazon Translate,Amir
Una persona no quiere un ahorcado.,Amazon Translate,Amir
Una persona no quiere un ataque al corazón.,Amazon Translate,Amir
Una persona no quiere un trabajo mal pagado.,Amazon Translate,Amir
Una persona no quiere una conexión lenta a Internet.,Amazon Translate,Amir
Una persona no quiere ser maltratada.,Amazon Translate,Amir
Una persona no quiere que le duela la espalda.,Amazon Translate,Amir
Una persona no quiere que le piquen.,Amazon Translate,Amir
Una persona no quiere tener una ETS.,Amazon Translate,Amir
Una persona no quiere que le molesten.,Amazon Translate,Amir
Una persona no quiere ansiedad.,Amazon Translate,Amir
Una persona no quiere comida mala.,Amazon Translate,Amir
Una persona no quiere aburrirse.,Amazon Translate,Amir
Una persona no quiere el engaño.,Amazon Translate,Amir
Una persona no quiere que todo sea igual.,Amazon Translate,Amir
Una persona no quiere ir a la guerra.,Amazon Translate,Amir
Una persona no quiere que su ordenador se bloquee.,Amazon Translate,Amir
Una persona no quiere perder su trabajo.,Amazon Translate,Amir
Una persona no quiere tener llagas abiertas.,Amazon Translate,Amir
Una persona no quiere esquizofrenia.,Amazon Translate,Amir
Una persona no quiere la verdad.,Amazon Translate,Amir
Una persona no quiere ser alienada.,Amazon Translate,Amir
Una persona no quiere enfermarse.,Amazon Translate,Amir
Una persona no quiere tener miedo.,Amazon Translate,Amir
Una persona no quiere estar enferma.,Amazon Translate,Amir
Una persona no quiere estar en un atasco de tráfico.,Amazon Translate,Amir
Una persona no quiere estar en prisión.,Amazon Translate,Amir
Una persona no quiere que la castiguen.,Amazon Translate,Amir
Una persona no quiere ser ridícula.,Amazon Translate,Amir
Una persona no quiere ser vergonzosa.,Amazon Translate,Amir
Una persona no quiere romperse una pierna.,Amazon Translate,Amir
Una persona no quiere chocar su auto.,Amazon Translate,Amir
Una persona no quiere morir sola.,Amazon Translate,Amir
Una persona no quiere hacer algo en lo que no es bueno.,Amazon Translate,Amir
Una persona no quiere volver a hacer el trabajo.,Amazon Translate,Amir
Una persona no quiere hacer lo que no le interesa.,Amazon Translate,Amir
Una persona no quiere desenamorarse.,Amazon Translate,Amir
Una persona no quiere quedarse sin hogar.,Amazon Translate,Amir
Una persona no quiere escuchar malas noticias.,Amazon Translate,Amir
Una persona no quiere perder a sus amigos.,Amazon Translate,Amir
Una persona no quiere cometer errores.,Amazon Translate,Amir
Una persona no quiere espinillas.,Amazon Translate,Amir
Una persona no quiere cosas desagradables.,Amazon Translate,Amir
Una persona en una situación desesperada probará las medidas más desesperadas.,Amazon Translate,Amir
Una persona que corre cuando hace calor tiene más probabilidades de sudar.,Amazon Translate,Amir
"En un tren vacío, una persona no oiría hablar a mucha gente.",Amazon Translate,Amir
Una persona que se va a dormir normalmente no lleva puesto un traje de baño.,Amazon Translate,Amir
Es poco probable que una persona con fiebre alta esté sana.,Amazon Translate,Amir
La raza de una persona no es relevante para sus habilidades.,Amazon Translate,Amir
Un pesimista es alguien que ha estado íntimamente familiarizado con un optimista.,Amazon Translate,Amir
Un punto de vista tiene diferentes perspectivas.,Amazon Translate,Amir
"Un hombre político puede aspirar a la realización de la libertad, pero sus medios para realizarla solo pueden ser a través de la violencia.",Amazon Translate,Amir
Un político que haga campaña para el concejo municipal debe tener experiencia trabajando en la ciudad.,Amazon Translate,Amir
Es posible que una persona muy ocupada no sepa su peso.,Amazon Translate,Amir
Rechazar los elogios puede ser un deseo de ser elogiado dos veces.,Amazon Translate,Amir
"En una sociedad demente, una persona sana puede parecer demente.",Amazon Translate,Amir
"Un barco está seguro en el puerto, pero ese no es su propósito.",Amazon Translate,Amir
Una forma sencilla de determinar si un arma es robada es comprobar su número de serie.,Amazon Translate,Amir
La sonrisa se percibe generalmente como una emoción positiva.,Amazon Translate,Amir
Una sociedad se hace grande cuando los ancianos plantan árboles sabiendo que nunca se sentarán a su sombra.,Amazon Translate,Amir
Un cuadrado tiene cuatro lados.,Amazon Translate,Amir
Un viento fuerte puede inspirarte a volar una cometa.,Amazon Translate,Amir
La espada está afilada.,Amazon Translate,Amir
Una tachuela está afilada.,Amazon Translate,Amir
Un maestro que no es dogmático puede ser uno que no está enseñando de verdad.,Amazon Translate,Amir
Un teísta es lo opuesto a un ateo.,Amazon Translate,Amir
Una teoría no es un hecho.,Amazon Translate,Amir
No se gana una guerra si el enemigo derrotado no se convierte en amigo.,Amazon Translate,Amir
Una esponja húmeda absorberá más agua que una esponja seca.,Amazon Translate,Amir
"Un hombre sabio en su casa debería encontrar una esposa amable y cortés, o no tener esposa alguna.",Amazon Translate,Amir
Un hombre sabio adapta sus creencias a la evidencia.,Amazon Translate,Amir
"Dentro de un año, tal vez desearías haber empezado hoy.",Amazon Translate,Amir
La conducta evitativa en uno mismo es un camino pavimentado para una sola cosa: mejorar en la conducta evitativa.,Amazon Translate,Amir
La capacidad de pensar como un violín o un piano requiere práctica diaria.,Amazon Translate,Amir
La abolición de la policía es una postura extrema adoptada por los demócratas.,Amazon Translate,Amir
El aborto es un delito porque la vida comienza con la concepción.,Amazon Translate,Amir
El acceso a la atención médica y la educación debe ser una prioridad.,Amazon Translate,Amir
"El acceso a la atención médica debe estar disponible para todos, sin preocuparse por las deudas.",Amazon Translate,Amir
"Un conocido es una persona a la que conocemos lo suficiente como para pedirle un préstamo, pero no lo suficientemente bien como para prestarle dinero.",Amazon Translate,Amir
La ley que queremos aprobar en esta sesión prohíbe los arrestos por delitos que no puedan ser encarcelados.,Amazon Translate,Amir
"Al sumar dos números, se creará un número mayor.",Amazon Translate,Amir
La admiración y la familiaridad son desconocidas.,Amazon Translate,Amir
Los adultos deben supervisar todas las actividades de fuegos artificiales.,Amazon Translate,Amir
Los avances en la tecnología pueden ayudar a salvar vidas y mejorar la calidad de vida de todos en el mundo.,Amazon Translate,Amir
Los avances en la tecnología pueden tener consecuencias muy positivas o terribles.,Amazon Translate,Amir
"La adversidad es la prueba de principios. Sin ella, un hombre apenas sabe si es honesto o no.",Amazon Translate,Amir
"Aconséjelo y asesórelo. Si no escucha, deja que la adversidad le enseñe.",Amazon Translate,Amir
Los ejercicios aeróbicos suelen ser buenos para ti.,Amazon Translate,Amir
África es un continente.,Amazon Translate,Amir
"Después de cierto punto, el dinero no tiene sentido. Deja de ser el objetivo. El juego es lo que cuenta.",Amazon Translate,Amir
"Tras un juicio, una de las partes está desnuda y la otra sin camisa.",Amazon Translate,Amir
Las compañías aéreas pueden prohibir los animales de apoyo emocional debido a su mala conducta y a que los dueños de mascotas eludan las normas y tarifas de las compañías aéreas.,Amazon Translate,Amir
Se debe restringir el consumo de alcohol para los fanáticos durante los juegos deportivos.,Amazon Translate,Amir
El alcohol puede hacer que quieras dormir por la noche.,Amazon Translate,Amir
El álgebra usa variables.,Amazon Translate,Amir
Todo arte es autobiográfico; la perla es la autobiografía de la ostra.,Amazon Translate,Amir
Todos los malos precedentes comienzan como medidas justificables.,Amazon Translate,Amir
Todos los credos fanáticos hacen daño. Promueven el odio y la lucha.,Amazon Translate,Amir
Todas las grandes hazañas y todos los grandes pensamientos tienen un comienzo ridículo. Las grandes obras suelen nacer en una esquina de una calle o en la puerta giratoria de un restaurante.,Amazon Translate,Amir
Todos los seres humanos fueron creados iguales.,Amazon Translate,Amir
"Todos los tipos de belleza no inspiran amor. Hay una que solo agrada a la vista, pero no cautiva los afectos.",Amazon Translate,Amir
"Toda la vida es un experimento. Cuantos más experimentos hagas, mejor.",Amazon Translate,Amir
Todos los recuerdos que la gente llama para rendir cuentas son inventados.,Amazon Translate,Amir
Todos nuestros sueños pueden hacerse realidad si tenemos el coraje de perseguirlos.,Amazon Translate,Amir
Toda nuestra maldad proviene de nuestra incapacidad de estar solos.,Amazon Translate,Amir
Todas las personas son humanas.,Amazon Translate,Amir
Todas las religiones tienen diferencias.,Amazon Translate,Amir
"Todos los movimientos sociales son rechazados en algún momento por quejarse. Con el tiempo, se reconoce que dicen la verdad al poder.",Amazon Translate,Amir
Todos los continentes solían estar conectados en un continente gigante llamado Pangea.,Amazon Translate,Amir
Todos los caminos llevan a Roma.,Amazon Translate,Amir
Todas las verdades son fáciles de entender una vez descubiertas. El punto es descubrirlas.,Amazon Translate,Amir
"Todo lo que no es prosa es verso, y todo lo que no es verso es prosa.",Amazon Translate,Amir
Todos los que han muerto son iguales.,Amazon Translate,Amir
Permitir que los votantes elegibles voten en línea permite que más votantes participen en las elecciones y fortalece la democracia.,Amazon Translate,Amir
Permitir las visitas familiares a los hogares de ancianos durante una pandemia mejorará la calidad de vida y la salud mental de los residentes y sus familias.,Amazon Translate,Amir
Permitir las armas no tiene que ver con que los buenos con armas disuadan los delitos violentos. Un estudio realizado en 33 estados indica que permitir el uso de armas ha aumentado los delitos violentos entre un 13% y un 15%.,Amazon Translate,Amir
Permitir que las personas tengan sus propias creencias religiosas sin interrupciones es amable.,Amazon Translate,Amir
"Aunque Gran Bretaña es un país grande y famoso, es una isla.",Amazon Translate,Amir
"Si bien algunas personas que fuman tienen una vida muy larga, cuanto más fume una persona, mayor será el riesgo para su salud.",Amazon Translate,Amir
"Aunque el mundo no es perfecto, sigue siendo lo mejor posible.",Amazon Translate,Amir
"Si bien podemos ver las reacciones de los demás ante su experiencia interior, en realidad no podemos percibir ni experimentar su experiencia interior real, sus cualidades.",Amazon Translate,Amir
El altruismo es sentido común para las personas.,Amazon Translate,Amir
El altruismo es la base de una sociedad pacífica.,Amazon Translate,Amir
Siempre y nunca son dos palabras que siempre debes recordar no usar.,Amazon Translate,Amir
Siéntete libre de apoyar siempre.,Amazon Translate,Amir
Recuerda siempre que tu enfoque determina tu realidad.,Amazon Translate,Amir
Siempre verifique tres veces que sus piezas sean compatibles antes de comprar piezas de computadora.,Amazon Translate,Amir
Confía siempre en Dios.,Amazon Translate,Amir
La ambición no es un vicio de personas de mente estrecha.,Amazon Translate,Amir
Estados Unidos hizo lo correcto cuando se separó de Gran Bretaña en 1776.,Amazon Translate,Amir
Estados Unidos es un lugar donde el coraje y la convicción pueden marcar la diferencia.,Amazon Translate,Amir
Estados Unidos debe esforzarse por defender la democracia y los derechos humanos en todo el mundo.,Amazon Translate,Amir
"La creciente diversidad de los Estados Unidos debe ser bienvenida y debemos protegerlos con leyes contra la explotación, el sexismo y el racismo.",Amazon Translate,Amir
Los estadounidenses deben promulgar políticas que hagan que Estados Unidos vuelva a ser grande.,Amazon Translate,Amir
Los estadounidenses están hartos de los políticos hipócritas.,Amazon Translate,Amir
"Los estadounidenses, como sociedad, son percibidos como codiciosos.",Amazon Translate,Amir
Los estadounidenses son trabajadores y optimistas.,Amazon Translate,Amir
Los estadounidenses nunca han tenido miedo del futuro.,Amazon Translate,Amir
Los estadounidenses saben lo que está bien y lo que está mal.,Amazon Translate,Amir
Los estadounidenses quieren valores progresistas.,Amazon Translate,Amir
Los estadounidenses quieren líderes republicanos.,Amazon Translate,Amir
Los estadounidenses inteligentes son capaces de ver quién es digno y quién no.,Amazon Translate,Amir
Un contador es bueno en matemáticas y lógica.,Amazon Translate,Amir
Se dice con frecuencia que «una manzana al día mantiene alejado al médico».,Amazon Translate,Amir
"La educación no es cuánto te has comprometido con la memoria, ni siquiera cuánto sabes. Se trata de poder diferenciar entre lo que sabes y lo que no sabes.",Amazon Translate,Amir
Una reputación eminente es tan peligrosa como una mala.,Amazon Translate,Amir
La esposa ideal es aquella que permanece fiel a ti pero trata de ser tan encantadora como si no lo fuera.,Amazon Translate,Amir
El aumento de 3 a 9 millones de casos de gota en una década sugiere que los cambios en el estilo de vida humano influyen en el desarrollo de la enfermedad.,Amazon Translate,Amir
