statement,elicitation,committer
A maioria das pessoas considera qualquer representação de seus profetas religiosos respeitosa.,microsoft azure text translation,Dan
Há poucas evidências de que a redução do imposto de renda ou de outros impostos crie empregos ou atraia empresas.,microsoft azure text translation,Dan
O romance não está entre as razões humanitárias pelas quais Israel permite que palestinos viajem de Gaza para a Cisjordânia.,microsoft azure text translation,Dan
O dinheiro é oxigênio para o terrorismo.,microsoft azure text translation,Dan
Muito poder nas mãos de um homem pode levar à catástrofe.,microsoft azure text translation,Dan
A repulsa nacional ajudou o presidente Lyndon B. Johnson a aprovar a Lei de Direitos de Voto no Congresso dentro de cinco meses.,microsoft azure text translation,Dan
Os políticos muitas vezes adaptam seu discurso e aparência para se conectar com diferentes públicos.,microsoft azure text translation,Dan
As companhias aéreas são responsáveis em casos de morte acidental ou ferimentos em voos internacionais.,microsoft azure text translation,Dan
A escuta não autorizada de uma linha de gás é perigosa.,microsoft azure text translation,Dan
Pessoas com Alzheimer grave podem não se lembrar dos nomes de seus familiares.,microsoft azure text translation,Dan
As pessoas geralmente precisam dormir para funcionar.,microsoft azure text translation,Dan
Roubar código de negociação confidencial de um banco é ilegal.,microsoft azure text translation,Dan
Aves mortas podem ser um sinal de um ambiente tóxico.,microsoft azure text translation,Dan
O uso do cinto de segurança pode evitar que os ocupantes sejam ejetados em um acidente de carro.,microsoft azure text translation,Dan
O futuro do esporte está nas mulheres.,microsoft azure text translation,Dan
Ex-parlamentares costumam se tornar lobistas após deixarem o cargo.,microsoft azure text translation,Dan
Todos devemos querer garantir que todos os eleitores elegíveis possam exercer o seu direito de voto e ter o seu voto contado.,microsoft azure text translation,Dan
As pessoas geralmente esperam que seu governo equilibre a segurança nacional e as liberdades civis.,microsoft azure text translation,Dan
Os contribuintes deveriam ter recebido uma compensação substancial pelo risco que correram.,microsoft azure text translation,Dan
A violência armada é um tema divisivo na campanha presidencial.,microsoft azure text translation,Dan
"Manter os cães com coleiras e alimentar os animais apenas dentro de casa são medidas de bom senso para evitar conflitos com animais selvagens, como coiotes.",microsoft azure text translation,Dan
As pessoas geralmente preferem votar em candidatos que acreditam ser honestos e têm os melhores interesses do país no coração.,microsoft azure text translation,Dan
"A maioria das pessoas deve ser tratada com respeito e dignidade, independentemente de sua orientação sexual.",microsoft azure text translation,Dan
As pessoas geralmente se orgulham de suas conexões locais com indivíduos bem-sucedidos.,microsoft azure text translation,Dan
Especialistas em violência armada estão cada vez mais interessados em mudar as leis para atingir melhor aqueles que têm uma propensão demonstrada para a violência armada.,microsoft azure text translation,Dan
Os países frequentemente expressam suas preocupações sobre acordos internacionais que acreditam representar uma ameaça à sua segurança.,microsoft azure text translation,Dan
Destruir provas pode fazer uma pessoa parecer culpada.,microsoft azure text translation,Dan
Os custos de fabricação nos Estados Unidos estão se tornando mais competitivos devido a fatores como preços mais baixos de energia e incentivos fiscais locais.,microsoft azure text translation,Dan
A Lei do Direito ao Voto de 1965 foi projetada para prevenir a discriminação racial no voto.,microsoft azure text translation,Dan
Dirigir sem uma carteira de motorista válida pode levar a multas ou problemas legais.,microsoft azure text translation,Dan
Uma aliança militar é uma aliança de sangue.,microsoft azure text translation,Dan
As fronteiras são tipicamente definidas e acordadas pelos governos dos países vizinhos.,microsoft azure text translation,Dan
"Espera-se que os funcionários adotem a ""frugalidade"".",microsoft azure text translation,Dan
As crianças não deveriam estar disparando armas automáticas.,microsoft azure text translation,Dan
Os gorilas vivem em tropas.,microsoft azure text translation,Dan
"Em geral, espera-se que os empregadores cumpram as leis trabalhistas e protejam os direitos dos trabalhadores.",microsoft azure text translation,Dan
"Pessoas desarmadas não devem acabar mortas, mesmo que sejam suspeitas de irregularidades.",microsoft azure text translation,Dan
A educação é importante para o desenvolvimento pessoal e o sucesso na carreira.,microsoft azure text translation,Dan
As impressões digitais não podem ser alteradas.,microsoft azure text translation,Dan
A liberdade de navegação de acordo com o direito internacional é importante para o comércio global.,microsoft azure text translation,Dan
A maioria das pessoas está interessada em mais do que apenas ganhar dinheiro.,microsoft azure text translation,Dan
A maneira mais eficaz de amortecer o entusiasmo de um urso faminto pelo lixo é usar latas de lixo resistentes a ursos.,microsoft azure text translation,Dan
"Às vezes, o cheiro de escândalo pode ser pior do que qualquer escândalo real.",microsoft azure text translation,Dan
As pessoas podem mudar suas vidas para melhor depois de cometer erros.,microsoft azure text translation,Dan
A maioria das pessoas concorda que apenas cidadãos americanos devem ser autorizados a votar nas eleições dos EUA.,microsoft azure text translation,Dan
É senso comum que a mídia desempenha um papel significativo na formação de narrativas e percepções públicas.,microsoft azure text translation,Dan
Uma eleição nacional não é uma disputa de popularidade.,microsoft azure text translation,Dan
"A discriminação baseada em fatores como raça, religião e orientação sexual é geralmente proibida.",microsoft azure text translation,Dan
"Com o crescimento dos dispositivos móveis, o sexting se tornou ainda mais prevalente do que quando recebeu atenção generalizada.",microsoft azure text translation,Dan
As pessoas geralmente concordam que a memorização é uma habilidade que pode ser demonstrada recitando informações da memória.,microsoft azure text translation,Dan
Os animais geneticamente modificados estão sujeitos à aprovação regulatória antes de poderem ser vendidos para consumo.,microsoft azure text translation,Dan
Cada jurado tem direito à sua opinião.,microsoft azure text translation,Dan
Não pode ser tão fácil para alguém que quer infligir danos a outras pessoas colocar as mãos em uma arma.,microsoft azure text translation,Dan
Pontes são comumente usadas para abranger corpos d'água e conectar diferentes áreas.,microsoft azure text translation,Dan
A arma nunca deve ser uma opção.,microsoft azure text translation,Dan
Uma bala não tem nome.,microsoft azure text translation,Dan
Os titulares de Green Card recebem autorizações de trabalho vitalícias e residência.,microsoft azure text translation,Dan
Os políticos costumam fazer promessas à sua base que não cumprem.,microsoft azure text translation,Dan
A ascensão de homens fortes demagógicos é um fenômeno muito comum em nosso pequeno planeta.,microsoft azure text translation,Dan
Os eleitores têm o direito de decidir o candidato do partido.,microsoft azure text translation,Dan
É apenas senso comum ter banheiro e chuveiro separados nas escolas.,microsoft azure text translation,Dan
É senso comum que os pais não querem estranhos no banheiro com seus filhos pequenos.,microsoft azure text translation,Dan
"É senso comum básico que um homem adulto, um estranho, não deve ficar sozinho em um banheiro com meninas.",microsoft azure text translation,Dan
Os políticos costumam se acusar de desespero durante as campanhas eleitorais.,microsoft azure text translation,Dan
O Estado-nação continua a ser o verdadeiro alicerce para a felicidade e a harmonia.,microsoft azure text translation,Dan
Governadores podem endossar candidatos políticos.,microsoft azure text translation,Dan
Cada geração deve se levantar e lutar para preservar a liberdade.,microsoft azure text translation,Dan
É fundamental que sejamos capazes de examinar cuidadosamente nossos líderes.,microsoft azure text translation,Dan
A grandeza é tangível; você sabe quando vê.,microsoft azure text translation,Dan
As pessoas não devem mentir sobre suas experiências.,microsoft azure text translation,Dan
O sonho americano deve estar aberto a todos aqueles que estão dispostos a trabalhar para ele.,microsoft azure text translation,Dan
"As armas de guerra são projetadas para serem usadas em combate, não em ambientes civis.",microsoft azure text translation,Dan
"A imigração é um privilégio, não um direito.",microsoft azure text translation,Dan
Os ataques terroristas podem resultar na perda de vidas.,microsoft azure text translation,Dan
As pessoas não devem discriminar os outros com base na sua orientação sexual.,microsoft azure text translation,Dan
Nem todos os direitos garantidos pela Constituição dos EUA se aplicam a não-americanos fora do país.,microsoft azure text translation,Dan
É senso comum que as pessoas são apaixonadas pelo seu país.,microsoft azure text translation,Dan
A imigração é um privilégio.,microsoft azure text translation,Dan
Criminosos não seguem leis.,microsoft azure text translation,Dan
As pessoas geralmente valorizam a honestidade.,microsoft azure text translation,Dan
Espera-se que os líderes coloquem os interesses de seu país e cidadãos em primeiro lugar.,microsoft azure text translation,Dan
Culpar um país inteiro pode aumentar as tensões internacionais.,microsoft azure text translation,Dan
Os políticos costumam usar teleprompters para fazer discursos.,microsoft azure text translation,Dan
A maioria das pessoas concordaria que a Constituição dos Estados Unidos garante a liberdade religiosa.,microsoft azure text translation,Dan
A maioria das pessoas não deve ter acesso a comprar armas se estiver em uma lista de observação de terroristas.,microsoft azure text translation,Dan
A maioria das pessoas comete erros em algum momento de suas vidas.,microsoft azure text translation,Dan
A mudança climática é real e vamos ter que mudar nossa fonte de energia.,microsoft azure text translation,Dan
"Os presidentes não precisam entender minúcias políticas. Eles precisam ouvir especialistas e, em seguida, ajudar a vender as melhores soluções especializadas para o público.",microsoft azure text translation,Dan
Policiais colocam suas vidas em risco todos os dias.,microsoft azure text translation,Dan
Os negros representam 31% da população da Geórgia.,microsoft azure text translation,Dan
Políticos costumam fazer campanha em diferentes estados para ganhar apoio para sua eleição.,microsoft azure text translation,Dan
Fazer cumprir a lei é uma responsabilidade fundamental do governo.,microsoft azure text translation,Dan
A maioria das pessoas concorda que a segurança e a privacidade são importantes nos banheiros públicos.,microsoft azure text translation,Dan
Os investidores levam em conta as políticas esperadas em suas projeções de mercado.,microsoft azure text translation,Dan
"Adolescentes sendo adolescentes, a sala estava cheia de angústias e contradições.",microsoft azure text translation,Dan
A maioria das pessoas concorda que o discurso do Presidente sobre o Estado da União é uma oportunidade para influenciar o debate público e definir a agenda.,microsoft azure text translation,Dan
Muitos estados exigem que suas terras sejam usadas da forma mais lucrativa possível.,microsoft azure text translation,Dan
É senso comum que aprender um novo idioma pode ser um desafio.,microsoft azure text translation,Dan
