source_file,group_number,lng,line_and_statement
raw_statements/email_statements_ja.csv,1,ja,"{236: 'キャンペーンでは、その取り組みを支援するために寄付を求めることがよくあります。', 767: 'キャンペーンでは、その取り組みを支援するために寄付を求めることがよくあります。'}"
raw_statements/email_statements_ja.csv,2,ja,"{257: 'キャンペーンでは、サポーターからの寄付を求めることがよくあります。', 2404: 'キャンペーンでは、サポーターからの寄付を求めることがよくあります。'}"
raw_statements/email_statements_ja.csv,3,ja,"{2462: 'キャンペーンでは、サポーターとメールで連絡を取ることがよくあります。', 2692: 'キャンペーンでは、サポーターとメールで連絡を取ることがよくあります。'}"
raw_statements/email_statements_ja.csv,4,ja,"{404: 'キャンペーンでは、メールでサポーターと連絡を取ることができます。', 2410: 'キャンペーンでは、メールでサポーターと連絡を取ることができます。'}"
raw_statements/email_statements_ja.csv,5,ja,"{94: 'キャンペーンでは、募金目標を達成するために寄付を求めることがよくあります。', 2492: 'キャンペーンでは、募金目標を達成するために寄付を求めることがよくあります。'}"
raw_statements/email_statements_ja.csv,6,ja,"{1923: 'キャンペーンでは、勢いを維持するために寄付を求めることがよくあります。', 2484: 'キャンペーンでは、勢いを維持するために寄付を求めることがよくあります。'}"
raw_statements/email_statements_ja.csv,7,ja,"{634: 'キャンペーンでは、政治的取り組みを支援するために寄付を求めることがよくあります。', 2916: 'キャンペーンでは、政治的取り組みを支援するために寄付を求めることがよくあります。'}"
raw_statements/email_statements_ja.csv,8,ja,"{1769: 'キャンペーンの資金は、企業のPAC資金の代わりに個人の寄付で賄うことができます。', 2198: 'キャンペーンの資金は、企業のPAC資金の代わりに個人の寄付で賄うことができます。'}"
raw_statements/email_statements_ja.csv,9,ja,"{1931: 'キャンペーンは個人の寄付で賄うことができます。', 2407: 'キャンペーンは個人の寄付で賄うことができます。'}"
raw_statements/email_statements_ja.csv,10,ja,"{2554: 'テレビ広告は政治キャンペーンで使用されます。', 2704: 'テレビ広告は政治キャンペーンで使用されます。'}"
raw_statements/email_statements_ja.csv,11,ja,"{738: 'テレビ広告は政治運動でよく使われる方法です。', 2465: 'テレビ広告は政治運動でよく使われる方法です。'}"
raw_statements/email_statements_ja.csv,12,ja,"{1879: 'ネガティブ広告は、政治キャンペーンのメッセージをかき消す可能性があります。', 2359: 'ネガティブ広告は、政治キャンペーンのメッセージをかき消す可能性があります。'}"
raw_statements/email_statements_ja.csv,13,ja,"{3066: 'ホームレスは、政策を通じて対処できる社会問題です。', 3177: 'ホームレスは、政策を通じて対処できる社会問題です。'}"
raw_statements/email_statements_ja.csv,14,ja,"{189: 'ホームレスは向き合わなければならない問題です。', 936: 'ホームレスは向き合わなければならない問題です。'}"
raw_statements/email_statements_ja.csv,15,ja,"{3069: 'ホームレスは対処が必要な社会問題です。', 3144: 'ホームレスは対処が必要な社会問題です。'}"
raw_statements/email_statements_ja.csv,16,ja,"{581: 'ホームレスは注意が必要な社会問題です。', 613: 'ホームレスは注意が必要な社会問題です。'}"
raw_statements/email_statements_ja.csv,17,ja,"{825: 'ホームレスは社会が直面しなければならない問題です。', 2860: 'ホームレスは社会が直面しなければならない問題です。'}"
raw_statements/email_statements_ja.csv,18,ja,"{598: 'ホームレスは社会が直面する問題です。', 760: 'ホームレスは社会が直面する問題です。'}"
raw_statements/email_statements_ja.csv,19,ja,"{426: 'ボランティアは政治運動にとって重要です。', 2051: 'ボランティアは政治運動にとって重要です。'}"
raw_statements/email_statements_ja.csv,20,ja,"{1899: 'ボランティア活動は政治運動を支援する方法です。', 2164: 'ボランティア活動は政治運動を支援する方法です。'}"
raw_statements/email_statements_ja.csv,21,ja,"{354: 'マスクを着用すると、病気の蔓延を防ぐことができます。', 517: 'マスクを着用すると、病気の蔓延を防ぐことができます。'}"
raw_statements/email_statements_ja.csv,22,ja,"{2180: 'マーガレットは、私たちの価値観を強く訴えています。彼女は、働く家族のために、フロリダの脆弱な環境を守り、利用しやすく手頃な価格の医療を提供し、私たちの政治的プロセスを乗っ取った特別な利益団体との闘いに、信じられないほどの労働倫理と常識をもたらしています。', 2543: 'マーガレットは、私たちの価値観を強く訴えています。彼女は、働く家族のために、フロリダの脆弱な環境を守り、利用しやすく手頃な価格の医療を提供し、私たちの政治的プロセスを乗っ取った特別な利益団体との闘いに、信じられないほどの労働倫理と常識をもたらしています。'}"
raw_statements/email_statements_ja.csv,23,ja,"{1733: 'メールは、キャンペーンでサポーターとコミュニケーションをとる一般的な方法です。', 1972: 'メールは、キャンペーンでサポーターとコミュニケーションをとる一般的な方法です。', 2190: 'メールは、キャンペーンでサポーターとコミュニケーションをとる一般的な方法です。'}"
raw_statements/email_statements_ja.csv,24,ja,"{1742: 'メールは、キャンペーンで何が起きているかを常にお客様に知らせるための最良の方法です。', 2709: 'メールは、キャンペーンで何が起きているかを常にお客様に知らせるための最良の方法です。'}"
raw_statements/email_statements_ja.csv,25,ja,"{248: 'メールは、政治家が支持者とコミュニケーションをとる一般的な方法です。', 268: 'メールは、政治家が支持者とコミュニケーションをとる一般的な方法です。', 382: 'メールは、政治家が支持者とコミュニケーションをとる一般的な方法です。', 3323: 'メールは、政治家が支持者とコミュニケーションをとる一般的な方法です。'}"
raw_statements/email_statements_ja.csv,26,ja,"{274: 'メールは、政治家が支持者とコミュニケーションをとる手段です。', 468: 'メールは、政治家が支持者とコミュニケーションをとる手段です。'}"
raw_statements/email_statements_ja.csv,27,ja,"{507: 'メールは、政治家が支持者とコミュニケーションを取り、重要な問題について知らせるための手段です。', 3318: 'メールは、政治家が支持者とコミュニケーションを取り、重要な問題について知らせるための手段です。'}"
raw_statements/email_statements_ja.csv,28,ja,"{636: 'メールは、政治運動で支持者とコミュニケーションをとる一般的な方法です。', 697: 'メールは、政治運動で支持者とコミュニケーションをとる一般的な方法です。', 3049: 'メールは、政治運動で支持者とコミュニケーションをとる一般的な方法です。'}"
raw_statements/email_statements_ja.csv,29,ja,"{768: 'メールは政治家が支持者とコミュニケーションをとる手段です。', 2806: 'メールは政治家が支持者とコミュニケーションをとる手段です。'}"
raw_statements/email_statements_ja.csv,30,ja,"{1959: 'ランニングは運動の一種です。', 2175: 'ランニングは運動の一種です。'}"
raw_statements/email_statements_ja.csv,31,ja,"{745: '中小企業はコロナウイルスの影響を受けています。', 2954: '中小企業はコロナウイルスの影響を受けています。'}"
raw_statements/email_statements_ja.csv,32,ja,"{1160: '中小企業は地域経済にとって不可欠です。', 1177: '中小企業は地域経済にとって不可欠です。', 3440: '中小企業は地域経済にとって不可欠です。'}"
raw_statements/email_statements_ja.csv,33,ja,"{1997: '人々が成功するためには、政治運動に寄付する必要があります。', 2444: '人々が成功するためには、政治運動に寄付する必要があります。'}"
raw_statements/email_statements_ja.csv,34,ja,"{279: '人々はしばしば政治運動にお金を寄付します。', 2327: '人々はしばしば政治運動にお金を寄付します。'}"
raw_statements/email_statements_ja.csv,35,ja,"{2060: '人々はキャンペーンの資金を調達するためにお金が必要です。', 2652: '人々はキャンペーンの資金を調達するためにお金が必要です。'}"
raw_statements/email_statements_ja.csv,36,ja,"{1787: '人々は政治運動を支援するためにお金を寄付します。', 2008: '人々は政治運動を支援するためにお金を寄付します。'}"
raw_statements/email_statements_ja.csv,37,ja,"{1990: '働く家族には支援が必要です。', 2044: '働く家族には支援が必要です。'}"
raw_statements/email_statements_ja.csv,38,ja,"{1508: '公職の候補者は、選挙運動を支援するために寄付を求めることがよくあります。', 4354: '公職の候補者は、選挙運動を支援するために寄付を求めることがよくあります。'}"
raw_statements/email_statements_ja.csv,39,ja,"{2794: '再選キャンペーンは、多くの場合、草の根の個人の支援に依存しています。', 3375: '再選キャンペーンは、多くの場合、草の根の個人の支援に依存しています。'}"
raw_statements/email_statements_ja.csv,40,ja,"{485: '募金活動は政治運動では一般的な活動です。', 1346: '募金活動は政治運動では一般的な活動です。'}"
raw_statements/email_statements_ja.csv,41,ja,"{4280: '医療に関する決定は、患者と医師の間で行う必要があります。', 4317: '医療に関する決定は、患者と医師の間で行う必要があります。'}"
raw_statements/email_statements_ja.csv,42,ja,"{201: '国会議員は、気候変動、インフラ、ホームレス、社会保障とメディケアの保護などの問題に取り組むことができます。', 448: '国会議員は、気候変動、インフラ、ホームレス、社会保障とメディケアの保護などの問題に取り組むことができます。', 2951: '国会議員は、気候変動、インフラ、ホームレス、社会保障とメディケアの保護などの問題に取り組むことができます。', 3386: '国会議員は、気候変動、インフラ、ホームレス、社会保障とメディケアの保護などの問題に取り組むことができます。', 3390: '国会議員は、気候変動、インフラ、ホームレス、社会保障とメディケアの保護などの問題に取り組むことができます。'}"
raw_statements/email_statements_ja.csv,43,ja,"{628: '国会議員は、気候変動、インフラ、ホームレス、社会保障とメディケアの保護などの問題に取り組むために選出されます。', 686: '国会議員は、気候変動、インフラ、ホームレス、社会保障とメディケアの保護などの問題に取り組むために選出されます。'}"
raw_statements/email_statements_ja.csv,44,ja,"{458: '国会議員は、気候変動、インフラ、ホームレス、社会保障とメディケアの保護などの問題に取り組んでいます。', 557: '国会議員は、気候変動、インフラ、ホームレス、社会保障とメディケアの保護などの問題に取り組んでいます。', 797: '国会議員は、気候変動、インフラ、ホームレス、社会保障とメディケアの保護などの問題に取り組んでいます。'}"
raw_statements/email_statements_ja.csv,45,ja,"{2235: '失業給付は、失業した人々に経済的援助を提供します。', 3950: '失業給付は、失業した人々に経済的援助を提供します。'}"
raw_statements/email_statements_ja.csv,46,ja,"{854: '寄付はさまざまな金額で行うことができます。', 1820: '寄付はさまざまな金額で行うことができます。'}"
raw_statements/email_statements_ja.csv,47,ja,"{44: '寄付は政治運動の資金調達に役立ちます。', 1553: '寄付は政治運動の資金調達に役立ちます。'}"
raw_statements/email_statements_ja.csv,48,ja,"{416: '寄付は政治運動を支援することができます。', 2570: '寄付は政治運動を支援することができます。', 2607: '寄付は政治運動を支援することができます。', 4098: '寄付は政治運動を支援することができます。'}"
raw_statements/email_statements_ja.csv,49,ja,"{582: '寄付は政治運動を支援する方法です。', 4056: '寄付は政治運動を支援する方法です。'}"
raw_statements/email_statements_ja.csv,50,ja,"{24: '手を洗うことは病気の蔓延を防ぐのに役立ちます。', 3620: '手を洗うことは病気の蔓延を防ぐのに役立ちます。'}"
raw_statements/email_statements_ja.csv,51,ja,"{1410: '手頃な価格の医療へのアクセスは、多くの人々にとって懸念事項です。', 1863: '手頃な価格の医療へのアクセスは、多くの人々にとって懸念事項です。'}"
raw_statements/email_statements_ja.csv,52,ja,"{2042: '投票は政治指導者を選ぶ方法です。', 2642: '投票は政治指導者を選ぶ方法です。'}"
raw_statements/email_statements_ja.csv,53,ja,"{1532: '投票所には特定の営業時間があります。', 3171: '投票所には特定の営業時間があります。'}"
raw_statements/email_statements_ja.csv,54,ja,"{2064: '投票率が高いと、選挙結果に影響する可能性があります。', 2468: '投票率が高いと、選挙結果に影響する可能性があります。'}"
