statement,drop,length,statement_r,hash,behavior,everyday,figure_of_speech,judgment,opinion,reasoning,awareness,consensus,commonsensicality
Time heals all wounds.,,22,Time heals all wounds.,aaa8b9b83f,0,0,0,1,1,0,0.798448039,0.998955512,0.89309242
A rising tide lifts all boats.,,30,A rising tide lifts all boats.,f7d16a69eb,0,0,0,1,1,0,0.982171619,0.929346834,0.955394204
Societal progress relies on equitable distribution of resources.,,64,Societal progress relies on equitable distribution of resources.,76e2310177,0,0,0,1,1,0,0.999129013,0.999839752,0.999484319
Every rose has its thorn.,,25,Every rose has its thorn.,a1626d679c,0,0,0,1,1,0,0.99995628,0.99944079,0.999698502
Mathematics reveals universal truths.,,37,Mathematics reveals universal truths.,e3f60fc2ad,0,0,0,1,1,0,0.999458701,0.999954085,0.999706362
Digital transformation reshapes industries.,,36,Shooting for the stars; aiming high.,f5a7b12829,0,0,0,1,1,0,0.999949394,0.99956446,0.999756909
Bridges connect communities and ideas.,,38,Bridges connect communities and ideas.,ecd5e6955b,0,0,0,1,1,0,0.999961484,0.999735809,0.99984864
The pen is mightier than the sword.,,35,The pen is mightier than the sword.,eb7f2e348a,0,0,0,1,1,0,0.999976123,0.999954085,0.999965104
The squeaky wheel gets the grease.,,34,The squeaky wheel gets the grease.,02a1f85f14,0,0,0,1,1,0,0.999996543,0.999985094,0.999990818
Precision in language ensures clarity.,,38,Precision in language ensures clarity.,fdf63a34d8,0,0,0,1,1,0,0.999999433,0.999992021,0.999995727
Artificial intelligence transforms industries.,,46,Artificial intelligence transforms industries.,a508e25ec7,0,0,0,1,1,0,0.999999294,0.999995161,0.999997228
Metaphors create vivid imagery in language.,,43,Metaphors create vivid imagery in language.,8d9fc3fc4e,0,0,0,1,1,0,0.999999364,0.999996231,0.999997797
Architecture shapes our built environment.,,42,Architecture shapes our built environment.,1ae62a08b2,0,0,0,1,1,0,0.99999674,0.999999886,0.999998313
Berlin Wall falling symbolized new freedoms.,,44,Berlin Wall falling symbolized new freedoms.,e2e099470a,0,0,0,1,1,0,0.999999839,0.999998613,0.999999226
