statement,committer,elicitation
Les chats sont généralement gardés comme animaux de compagnie.,Amir,Amazon Translate
La lumière voyage plus vite que le son.,Amir,Amazon Translate
Le sucre se dissout dans l'eau.,Amir,Amazon Translate
Les journées d'hiver sont généralement plus froides que les journées d'été.,Amir,Amazon Translate
Les plantes ont besoin de la lumière du soleil pour la photosynthèse.,Amir,Amazon Translate
La plupart des adultes ont 32 dents.,Amir,Amazon Translate
Les livres peuvent être fabriqués à partir de papier.,Amir,Amazon Translate
La pluie se forme à partir de la vapeur d'eau condensée.,Amir,Amazon Translate
Les voitures ont besoin de carburant pour fonctionner.,Amir,Amazon Translate
Les échecs se jouent sur un plateau carré.,Amir,Amazon Translate
Le pain devient rassis lorsqu'il est laissé découvert.,Amir,Amazon Translate
La lune tourne autour de la Terre.,Amir,Amazon Translate
Le fer rouille lorsqu'il est exposé à l'humidité.,Amir,Amazon Translate
Les araignées ont huit pattes.,Amir,Amazon Translate
Les éléphants sont les plus grands animaux terrestres.,Amir,Amazon Translate
Un triangle possède trois côtés.,Amir,Amazon Translate
Le lait est souvent utilisé pour faire du fromage.,Amir,Amazon Translate
Les pièces sont généralement en métal.,Amir,Amazon Translate
Les réfrigérateurs gardent les aliments au frais.,Amir,Amazon Translate
La gravité attire les objets vers la Terre.,Amir,Amazon Translate
Les chaussettes se portent aux pieds.,Amir,Amazon Translate
Les abeilles récoltent le nectar des fleurs.,Amir,Amazon Translate
Les poissons utilisent des branchies pour respirer sous l'eau.,Amir,Amazon Translate
Le feu produit de la chaleur et de la lumière.,Amir,Amazon Translate
Les nuages sont des accumulations visibles de gouttelettes d'eau.,Amir,Amazon Translate
Les diamants sont considérés comme des pierres précieuses.,Amir,Amazon Translate
Les volcans peuvent entrer en éruption avec de la lave en fusion.,Amir,Amazon Translate
Le riz est un aliment de base dans de nombreux pays.,Amir,Amazon Translate
L'Amazonie est une vaste forêt tropicale.,Amir,Amazon Translate
Les oiseaux construisent des nids pour pondre leurs œufs.,Amir,Amazon Translate
Une semaine compte sept jours.,Amir,Amazon Translate
Les appels téléphoniques transmettent des voix sur de longues distances.,Amir,Amazon Translate
Le plastique peut être recyclé dans certaines installations.,Amir,Amazon Translate
Les pommes poussent sur les arbres.,Amir,Amazon Translate
Les kangourous sont originaires d'Australie.,Amir,Amazon Translate
Les moulins à vent peuvent produire de l'électricité.,Amir,Amazon Translate
Les citoyens votent lors d'élections démocratiques.,Amir,Amazon Translate
Les bibliothèques prêtent des livres au public.,Amir,Amazon Translate
Les trains circulent sur des rails.,Amir,Amazon Translate
La plupart des crayons contiennent du graphite.,Amir,Amazon Translate
Les appareils photo capturent des photos.,Amir,Amazon Translate
Le football se joue avec un ballon ovale.,Amir,Amazon Translate
La crème glacée fond lorsqu'elle est exposée à la chaleur.,Amir,Amazon Translate
Les télévisions diffusent des images animées.,Amir,Amazon Translate
Les avions volent à l'aide d'ailes.,Amir,Amazon Translate
Les pommes de terre poussent sous terre.,Amir,Amazon Translate
Le sucre a un goût sucré pour la plupart des gens.,Amir,Amazon Translate
Les chaussures protègent vos pieds.,Amir,Amazon Translate
"Les dauphins sont des mammifères, pas des poissons.",Amir,Amazon Translate
Les clés sont utilisées pour déverrouiller les portes.,Amir,Amazon Translate
Paris est la capitale de la France.,Amir,Amazon Translate
Les satellites orbitent autour des planètes dans l'espace.,Amir,Amazon Translate
Les pins restent verts toute l'année.,Amir,Amazon Translate
Les méduses vivent dans les océans.,Amir,Amazon Translate
Le Sahara est un vaste désert.,Amir,Amazon Translate
Les pannes de courant interrompent la circulation de l'électricité.,Amir,Amazon Translate
Les tournesols se tournent vers la lumière du soleil.,Amir,Amazon Translate
La Statue de la Liberté se trouve dans le port de New York.,Amir,Amazon Translate
Les arcs-en-ciel se forment lorsque la lumière traverse des gouttelettes d'eau.,Amir,Amazon Translate
La plupart des grenouilles peuvent sauter sur de longues distances.,Amir,Amazon Translate
Les loups chassent en meute.,Amir,Amazon Translate
Les tortues ont une carapace dure.,Amir,Amazon Translate
Les tremblements de terre sont le résultat du déplacement des plaques tectoniques.,Amir,Amazon Translate
Les papillons se métamorphosent.,Amir,Amazon Translate
Les horloges mesurent le temps.,Amir,Amazon Translate
L'or a un éclat métallique jaune.,Amir,Amazon Translate
Une boussole indique les directions cardinales.,Amir,Amazon Translate
Les hiboux sont des oiseaux nocturnes.,Amir,Amazon Translate
Les bateaux flottent sur l'eau.,Amir,Amazon Translate
La pizza est un plat populaire.,Amir,Amazon Translate
Les girafes ont un long cou.,Amir,Amazon Translate
Les bougies fournissent de la lumière lorsqu'elles sont brûlées.,Amir,Amazon Translate
Le bambou pousse rapidement.,Amir,Amazon Translate
Le football se joue avec un ballon rond.,Amir,Amazon Translate
"Les champignons sont des champignons, pas des plantes.",Amir,Amazon Translate
Les lasers émettent des faisceaux de lumière focalisés.,Amir,Amazon Translate
La Grande Muraille est située en Chine.,Amir,Amazon Translate
Les moustiques piquent pour se nourrir de sang.,Amir,Amazon Translate
Les œufs sont un aliment courant pour le petit-déjeuner.,Amir,Amazon Translate
Les chevaux ont des sabots.,Amir,Amazon Translate
Le savon élimine la saleté de la peau.,Amir,Amazon Translate
De nombreux insectes subissent une métamorphose complète.,Amir,Amazon Translate
L'Arctique abrite des ours polaires.,Amir,Amazon Translate
Les cartes indiquent l'emplacement des lieux.,Amir,Amazon Translate
Les imperméables vous permettent de rester au sec.,Amir,Amazon Translate
La foudre peut toucher des objets de grande taille.,Amir,Amazon Translate
L'eau gèle à zéro degré Celsius.,Amir,Amazon Translate
Les chiens sont des animaux domestiques courants.,Amir,Amazon Translate
Les feuilles changent de couleur en automne.,Amir,Amazon Translate
Le papier est fabriqué à partir de pâte de bois.,Amir,Amazon Translate
La plupart des oiseaux pondent des œufs.,Amir,Amazon Translate
Les tomates contiennent de la vitamine C.,Amir,Amazon Translate
Les ordinateurs traitent les informations numériques.,Amir,Amazon Translate
Les vaches produisent du lait pour les produits laitiers.,Amir,Amazon Translate
Les trains transportent des passagers ou des marchandises.,Amir,Amazon Translate
Les vélos sont alimentés par le pédalage.,Amir,Amazon Translate
Le miel est fabriqué par les abeilles.,Amir,Amazon Translate
L'océan couvre la majeure partie de la surface de la Terre.,Amir,Amazon Translate
Les montagnes peuvent avoir une incidence sur les conditions météorologiques locales.,Amir,Amazon Translate
La plupart des montres affichent l'heure.,Amir,Amazon Translate
Le cerveau contrôle les fonctions du corps.,Amir,Amazon Translate
Les ananas ont une peau extérieure hérissée.,Amir,Amazon Translate
La plupart des plantes ont des feuilles vertes.,Amir,Amazon Translate
La girafe est l'animal le plus grand.,Amir,Amazon Translate
Le plastique est fabriqué à partir de pétrole.,Amir,Amazon Translate
Le café contient de la caféine.,Amir,Amazon Translate
La musique peut être produite par des instruments.,Amir,Amazon Translate
Les lions vivent en hordes.,Amir,Amazon Translate
Les diamants sont formés sous haute pression.,Amir,Amazon Translate
Londres est au Royaume-Uni.,Amir,Amazon Translate
Les reptiles sont des animaux à sang froid.,Amir,Amazon Translate
La plupart des gens prennent trois repas par jour.,Amir,Amazon Translate
Les plumes recouvrent la plupart des oiseaux.,Amir,Amazon Translate
Les carottes sont riches en bêta-carotène.,Amir,Amazon Translate
Les cacahuètes poussent sous terre.,Amir,Amazon Translate
Les lacets fixent les chaussures à vos pieds.,Amir,Amazon Translate
Mars est surnommée la planète rouge.,Amir,Amazon Translate
Le basket-ball se joue à l'intérieur ou à l'extérieur.,Amir,Amazon Translate
Les baleines respirent de l'air par des orifices d'aération.,Amir,Amazon Translate
Les cartes facilitent la navigation.,Amir,Amazon Translate
L'acier est un alliage de fer et de carbone.,Amir,Amazon Translate
Certains champignons décomposent les plantes mortes.,Amir,Amazon Translate
Le clavier est utilisé pour taper.,Amir,Amazon Translate
Les tigres ont une fourrure rayée.,Amir,Amazon Translate
La plupart des avions ont deux ailes.,Amir,Amazon Translate
Certains déserts possèdent des dunes de sable.,Amir,Amazon Translate
Les moteurs des voitures utilisent la combustion pour fonctionner.,Amir,Amazon Translate
Un arc-en-ciel possède plusieurs couleurs visibles.,Amir,Amazon Translate
Les pingouins vivent dans des climats froids.,Amir,Amazon Translate
L'hydrogène est l'élément le plus léger.,Amir,Amazon Translate
La plupart des mammifères ont des poils ou de la fourrure.,Amir,Amazon Translate
Les bibliothèques stockent des ressources d'information.,Amir,Amazon Translate
Les oranges sont des agrumes juteux.,Amir,Amazon Translate
Les étoiles émettent de l'énergie sous forme de lumière et de chaleur.,Amir,Amazon Translate
Les singes sont des primates.,Amir,Amazon Translate
Les pingouins ne peuvent pas voler.,Amir,Amazon Translate
Une rivière coule vers des altitudes plus basses.,Amir,Amazon Translate
Les requins ont des dents pointues.,Amir,Amazon Translate
La canne à sucre pousse dans les régions tropicales.,Amir,Amazon Translate
Vous pouvez voir votre respiration dans l'air froid.,Amir,Amazon Translate
On trouve des coquillages sur les plages.,Amir,Amazon Translate
Internet connecte les ordinateurs du monde entier.,Amir,Amazon Translate
De nombreux ordinateurs portables sont équipés de pavés tactiles.,Amir,Amazon Translate
Les perroquets peuvent imiter la parole humaine.,Amir,Amazon Translate
Le guépard est l'animal terrestre le plus rapide.,Amir,Amazon Translate
Les tornades se forment lors de tempêtes violentes.,Amir,Amazon Translate
Les paons arborent des plumes de queue colorées.,Amir,Amazon Translate
La pluie peut remplir les rivières et les lacs.,Amir,Amazon Translate
Le dentifrice nettoie les dents.,Amir,Amazon Translate
Les raisins peuvent être transformés en vin.,Amir,Amazon Translate
Les roses sont des plantes à fleurs.,Amir,Amazon Translate
Les coyotes sont des chiens sauvages.,Amir,Amazon Translate
Les dauphins communiquent par des clics et des sifflets.,Amir,Amazon Translate
