statement,elicitation,committer
忙碌的蜜蜂没有时间悲伤，突出了忙于充实活动的好处。,microsoft azure text translation,Dan
健康的身体里有健康的心灵，所以精神和身体健康都是必不可少的。,microsoft azure text translation,Dan
健康的身体中的健康心灵，暗示了身心健康的重要性。,microsoft azure text translation,Dan
千里之行始于足下，今天就开始您的健身之旅吧。,microsoft azure text translation,Dan
每天一点点的进步都会带来巨大的结果，这凸显了健康和健身一致性的重要性。,microsoft azure text translation,Dan
每天一点点的进步都会带来巨大的成果，强调每天努力在健康和健身方面的重要性。,microsoft azure text translation,Dan
一张图片胜过千言万语，凸显了视觉艺术的深远影响。,microsoft azure text translation,Dan
一张图片胜过千言万语，所以图像可以深刻地传达意义。,microsoft azure text translation,Dan
涨潮会掀起所有船只，这表明社会进步使每个人都受益。,microsoft azure text translation,Dan
滚石不会长苔藓，因此经常移动可以防止停滞。,microsoft azure text translation,Dan
滚石没有苔藓，这表明那些经常移动的人可以避免停滞不前。,microsoft azure text translation,Dan
及时缝一针可以节省九针，因此及时解决小的健康问题可以防止更大的问题。,microsoft azure text translation,Dan
及时缝一针可以节省九针，因此积极主动的措施是有益的。,microsoft azure text translation,Dan
及时缝一针可以节省九针，这表明尽早解决问题可以防止更大的问题。,microsoft azure text translation,Dan
被监视的锅永远不会沸腾，所以最好耐心等待。,microsoft azure text translation,Dan
被监视的锅永远不会沸腾，这表明过度专注于一项任务会让它感觉更长。,microsoft azure text translation,Dan
行动定义了你，因为人们经常根据你的所作所为而不是你所说的话来判断你。,microsoft azure text translation,Dan
在塑造历史事件及其影响方面，行动胜于雄辩。,microsoft azure text translation,Dan
在表达承诺方面，行动胜于雄辩。,microsoft azure text translation,Dan
行动胜于雄辩，因为行为往往比言论更能揭示真实意图。,microsoft azure text translation,Dan
行动胜于雄辩，凸显了行为在塑造社会规范方面的影响。,microsoft azure text translation,Dan
行动胜于雄辩，表明行为比口头陈述提供更可靠的信息。,microsoft azure text translation,Dan
行动胜于雄辩，表明行为揭示了真实的意图和价值观。,microsoft azure text translation,Dan
行动胜于雄辩，表明行为揭示了真实的意图。,microsoft azure text translation,Dan
行动胜于雄辩，反映了你的真实性格和意图。,microsoft azure text translation,Dan
行动胜于雄辩，所以你所做的往往比你说的话更重要。,microsoft azure text translation,Dan
行动胜于雄辩，表明行为揭示了真实的性格和意图。,microsoft azure text translation,Dan
要么适应，要么灭亡，强调需要跟上技术进步的步伐。,microsoft azure text translation,Dan
条条大路通罗马，指明了实现共同目标的多种方式。,microsoft azure text translation,Dan
条条大路通罗马，意味着许多条路可以通向一个共同的目标。,microsoft azure text translation,Dan
凡事适度，强调生活中平衡的重要性。,microsoft azure text translation,Dan
只有工作，没有娱乐，让杰克成为一个沉闷的男孩，强调需要平衡工作和休闲。,microsoft azure text translation,Dan
只有工作，没有娱乐使杰克成为一个沉闷的男孩，因此平衡在日常活动中很重要。,microsoft azure text translation,Dan
只有工作，没有娱乐使杰克成为一个沉闷的男孩，所以在工作和休闲之间取得平衡，以获得充实的生活。,microsoft azure text translation,Dan
每天一个苹果可以让医生远离，强调健康饮食的重要性。,microsoft azure text translation,Dan
一盎司的预防胜过一磅的治疗，强调了积极措施的价值。,microsoft azure text translation,Dan
一盎司的预防胜过一磅的治疗，强调采取预防措施的价值。,microsoft azure text translation,Dan
艺术和文化丰富了生活，提供了新的视角，激发了个人成长。,microsoft azure text translation,Dan
艺术为生活带来色彩，展示了它增强和丰富我们体验的力量。,microsoft azure text translation,Dan
艺术将人们聚集在一起，促进共同的经历和理解。,microsoft azure text translation,Dan
艺术具有改变社会、激发变革和挑战规范的力量。,microsoft azure text translation,Dan
艺术模仿生活，捕捉人类经验的本质。,microsoft azure text translation,Dan
艺术模仿生活，反映人类状况的现实和经验。,microsoft azure text translation,Dan
艺术是社会的一面镜子，反映了文化价值观和问题。,microsoft azure text translation,Dan
艺术是社会的反映，揭示了文化价值观和社会问题。,microsoft azure text translation,Dan
艺术是一种通用语言，表达超越语言交流的情感和思想。,microsoft azure text translation,Dan
艺术是谎言，使我们能够认识到真相，通过创造力揭示更深层次的意义。,microsoft azure text translation,Dan
艺术是我们文化的灵魂，反映了我们文化最深刻的价值观和信仰。,microsoft azure text translation,Dan
艺术是永恒的，为子孙后代保存情感和思想。,microsoft azure text translation,Dan
艺术无国界，超越文化和语言障碍，将全球人民联系在一起。,microsoft azure text translation,Dan
艺术在言语无法解释的地方说话。,microsoft azure text translation,Dan
艺术超越了语言，因此可以普遍传达意义。,microsoft azure text translation,Dan
艺术从灵魂中洗去日常生活的灰尘，提供了一个全新的视角。,microsoft azure text translation,Dan
人工智能正在改变行业，实现流程自动化并提高效率。,microsoft azure text translation,Dan
原子大多是空的，容纳围绕中心原子核运行的电子。,microsoft azure text translation,Dan
态度就是一切，因为积极的心态会影响你的成功和幸福。,microsoft azure text translation,Dan
自动化可以提高生产力，精确地处理重复性任务。,microsoft azure text translation,Dan
美在旁观者的眼中，所以艺术品味是主观的。,microsoft azure text translation,Dan
美在旁观者的眼中，暗示审美价值是主观的。,microsoft azure text translation,Dan
美丽只是肤浅的，所以真正的价值在于外表。,microsoft azure text translation,Dan
乞丐不能成为选择者，这凸显了接受现有事物的必要性。,microsoft azure text translation,Dan
乞丐不能成为选择者，所以接受你得到的。,microsoft azure text translation,Dan
安全总比后悔好，提倡谨慎，防止将来后悔。,microsoft azure text translation,Dan
安全总比后悔好，倡导谨慎以防止将来后悔。,microsoft azure text translation,Dan
一根羽毛的鸟聚集在一起，所以人们经常与那些与它们相似的鸟联系在一起。,microsoft azure text translation,Dan
变化是唯一不变的，因此适应能力对于个人成长至关重要。,microsoft azure text translation,Dan
性格是你在没有人看的时候所做的事情，反映了你真正的正直。,microsoft azure text translation,Dan
一致性是数学的关键，确保了可靠和可重复的结果。,microsoft azure text translation,Dan
创造力是享受乐趣的智慧，说明了艺术努力的乐趣。,microsoft azure text translation,Dan
创造力是充满乐趣的智慧，说明了艺术努力中的快乐探索。,microsoft azure text translation,Dan
创造力是无止境的，所以文化表现形式是无限的。,microsoft azure text translation,Dan
创造力需要勇气，这说明了表达独特艺术愿景所需的勇气。,microsoft azure text translation,Dan
创造力需要勇气，推动艺术家探索新的领域。,microsoft azure text translation,Dan
文化多样性是一种力量，它以不同的观点和经验丰富了社会。,microsoft azure text translation,Dan
文化塑造了身份，影响了我们如何看待自己和周围的世界。,microsoft azure text translation,Dan
DNA携带遗传信息，决定生物体的特征。,microsoft azure text translation,Dan
舞蹈是灵魂的隐藏语言，表达着无法用言语表达的情感。,microsoft azure text translation,Dan
数据是新的石油，强调信息在数字时代的价值。,microsoft azure text translation,Dan
不同的地方有不同的魅力，强调每个地方的独特属性。,microsoft azure text translation,Dan
不同的人有不同的笔触，因为人对地方的偏好差异很大。,microsoft azure text translation,Dan
己所不欲，勿施于人，总结了许多信仰体系的黄金法则。,microsoft azure text translation,Dan
不要在鸡孵化前数鸡，因为计划总是会改变的。,microsoft azure text translation,Dan
不要在鸡孵化前数鸡，建议在制定计划之前等待实际结果。,microsoft azure text translation,Dan
不要在鸡孵化前数鸡，建议在制定计划之前等待某些结果。,microsoft azure text translation,Dan
不要在鸡孵化前数鸡，建议在制定计划之前等待结果。,microsoft azure text translation,Dan
不要把所有的鸡蛋都放在一个篮子里，建议不要在一次冒险中冒险。,microsoft azure text translation,Dan
不要把今天能做的事情推迟到明天，强调迅速采取行动的重要性。,microsoft azure text translation,Dan
早睡早起使人健康、富有和聪明。,microsoft azure text translation,Dan
无论东方还是西方，家都是最好的，突出了自己家的舒适。,microsoft azure text translation,Dan
无论东方还是西方，家都是最好的，突出了自己家的舒适。,microsoft azure text translation,Dan
教育是繁荣社会的基石，培养有见识和参与的公民。,microsoft azure text translation,Dan
效率是技术的关键，在最大限度地减少工作量和资源的同时最大限度地提高产出。,microsoft azure text translation,Dan
根据能量守恒定律，能量不能被创造或破坏，只能被转化。,microsoft azure text translation,Dan
平等是自由的灵魂，确保所有人得到公平待遇和机会。,microsoft azure text translation,Dan
方程式是逻辑和创造力的平衡，通过结构化推理解决问题。,microsoft azure text translation,Dan
方程式平衡逻辑和创造力，通过结构化推理解决问题。,microsoft azure text translation,Dan
错误是发现的门户，表明错误可以带来新的见解。,microsoft azure text translation,Dan
每朵云都有一线希望，表明在每种困难的情况下总有一些积极的东西。,microsoft azure text translation,Dan
每一项创新都有其挑战，需要仔细考虑和适应。,microsoft azure text translation,Dan
每张地图都讲述了一个故事，展示了当地丰富的历史和文化。,microsoft azure text translation,Dan
每张图片都在讲述一个故事，强调视觉艺术的叙事力量。,microsoft azure text translation,Dan
每张图片都讲述了一个故事，因此视觉效果可以传达复杂的想法。,microsoft azure text translation,Dan
每个问题都有一个解决方案，鼓励有条不紊地解决数学问题。,microsoft azure text translation,Dan
每一次上升都有一次下跌，反映了历史事件的周期性。,microsoft azure text translation,Dan
每个工具都有其用途，突出了为任务选择正确技术的重要性。,microsoft azure text translation,Dan
进化论解释了生命的多样性，展示了物种如何随着时间的推移而适应。,microsoft azure text translation,Dan
每天锻炼以保持心脏健康，强调定期体育锻炼的重要性。,microsoft azure text translation,Dan
运动是长期健康的关键，因此定期锻炼至关重要。,microsoft azure text translation,Dan
信仰可以移山，强调坚定信念的力量。,microsoft azure text translation,Dan
信仰是一段旅程，而不是一个目的地，强调精神成长的持续过程。,microsoft azure text translation,Dan
信心不是没有证据的信仰，而是毫无保留的信任。,microsoft azure text translation,Dan
信仰是迈出第一步，即使你看不到整个楼梯。,microsoft azure text translation,Dan
信心是所盼望之事的实质，是未见之事的证据。,microsoft azure text translation,Dan
没有行为的信心是死的，强调需要行动来伴随信仰。,microsoft azure text translation,Dan
熟悉会滋生蔑视，这表明对一个地方的了解太深会削弱它的吸引力。,microsoft azure text translation,Dan
熟悉会滋生蔑视，所以对一个地方太了解可能会降低它的吸引力。,microsoft azure text translation,Dan
健身不是目的地，而是一种生活方式，强调持续致力于健康的重要性。,microsoft azure text translation,Dan
健身不是目的地，而是一种生活方式，鼓励对健康的持续承诺。,microsoft azure text translation,Dan
对于每一个动作，都有一个相等和相反的反应，如牛顿第三运动定律所描述的那样。,microsoft azure text translation,Dan
给人一条鱼，你就喂他一天;授人以渔，你就养活了他一辈子，强调赋权的重要性。,microsoft azure text translation,Dan
上帝帮助那些自助的人，鼓励自力更生和努力。,microsoft azure text translation,Dan
上帝以神秘的方式行动，强调神圣行为的深不可测的本质。,microsoft azure text translation,Dan
出汗的人会得到好事，强调健身努力工作的好处。,microsoft azure text translation,Dan
重大事件在他们面前投下阴影，预示着未来发生重大变化的迹象。,microsoft azure text translation,Dan
重大事件在他们面前投下阴影，预示着未来重大变化的迹象。,microsoft azure text translation,Dan
健康就是财富，凸显了保持身体健康对丰富生活的重要性。,microsoft azure text translation,Dan
健康就是财富，因此将福祉放在首位至关重要。,microsoft azure text translation,Dan
健康的习惯可以培养健康的生活，突出日常生活的重要性。,microsoft azure text translation,Dan
健康的习惯可以培养健康的生活，强调日常生活的重要性。,microsoft azure text translation,Dan
事后诸葛亮是 20/20，因此历史事件往往在发生后才能更清楚地理解。,microsoft azure text translation,Dan
事后诸葛亮是 20/20，这表明在历史事件发生后理解它们会更清晰。,microsoft azure text translation,Dan
历史不会重演，但它经常押韵，反映出反复出现的模式。,microsoft azure text translation,Dan
历史不会重演，但它经常押韵，反映历史事件中的微妙模式。,microsoft azure text translation,Dan
历史是一个巨大的预警系统，为未来提供经验教训。,microsoft azure text translation,Dan
历史是一个巨大的预警系统，为避免过去的错误提供教训。,microsoft azure text translation,Dan
历史是由胜利者书写的，突出了历史叙述中的偏见。,microsoft azure text translation,Dan
历史是由胜利者书写的，揭示了一种有偏见的观点。,microsoft azure text translation,Dan
历史经常重演，凸显了人类事件的周期性。,microsoft azure text translation,Dan
历史经常重演，表明不同时期的相似模式。,microsoft azure text translation,Dan
历史会重复我们无法修复的东西，强调需要从过去的错误中吸取教训。,microsoft azure text translation,Dan
历史往往会重演，因此了解过去的事件至关重要。,microsoft azure text translation,Dan
家是心之所向，表明你真正的家是由你觉得联系最紧密的地方决定的。,microsoft azure text translation,Dan
家是心之所向，所以你真正的家是和你所爱的人在一起。,microsoft azure text translation,Dan
诚实是最好的政策，强调对自己和他人诚实的重要性。,microsoft azure text translation,Dan
诚实是最好的政策，所以要始终努力对自己和他人诚实。,microsoft azure text translation,Dan
