statement,elicitation,committer
"Uma abelha ocupada não tem tempo para tristeza, destacando o benefício de se manter ocupada em atividades gratificantes.",microsoft azure text translation,Dan
"Uma mente saudável em um corpo saudável, por isso tanto a aptidão mental quanto física são essenciais.",microsoft azure text translation,Dan
"Uma mente saudável em um corpo são, sugerindo a importância da aptidão mental e física.",microsoft azure text translation,Dan
"Uma jornada de mil quilômetros começa com um único passo, então comece sua jornada fitness hoje.",microsoft azure text translation,Dan
"Um pouco de progresso a cada dia se soma a grandes resultados, destacando a importância da consistência na saúde e no condicionamento físico.",microsoft azure text translation,Dan
"Um pouco de progresso a cada dia se soma a grandes resultados, ressaltando a importância dos esforços diários em saúde e condicionamento físico.",microsoft azure text translation,Dan
"Uma imagem vale mais que mil palavras, destacando o profundo impacto da arte visual.",microsoft azure text translation,Dan
"Uma imagem vale mais do que mil palavras, então as imagens podem transmitir significado profundamente.",microsoft azure text translation,Dan
"Uma maré crescente levanta todos os barcos, sugerindo que as melhorias sociais beneficiam a todos.",microsoft azure text translation,Dan
"Uma pedra rolante não reúne musgo, então mover-se com frequência pode evitar a estagnação.",microsoft azure text translation,Dan
"Uma pedra rolante não reúne musgo, sugerindo que aqueles que se movem frequentemente evitam a estagnação.",microsoft azure text translation,Dan
"Um ponto no tempo economiza nove, então resolver pequenos problemas de saúde prontamente pode evitar problemas maiores.",microsoft azure text translation,Dan
"Um ponto no tempo economiza nove, então medidas proativas são benéficas.",microsoft azure text translation,Dan
"Um ponto no tempo economiza nove, sugerindo que resolver problemas precocemente evita problemas maiores.",microsoft azure text translation,Dan
"Uma panela nunca ferve, por isso é melhor ter paciência.",microsoft azure text translation,Dan
"Uma panela vigiada nunca ferve, sugerindo que estar excessivamente focado em uma tarefa pode fazer com que ela pareça mais longa.",microsoft azure text translation,Dan
"As ações te definem, porque as pessoas muitas vezes te julgam com base no que você faz e não no que você diz.",microsoft azure text translation,Dan
As ações falam mais alto do que as palavras na formação de eventos históricos e seu impacto.,microsoft azure text translation,Dan
As ações falam mais alto do que as palavras quando se trata de mostrar comprometimento.,microsoft azure text translation,Dan
"As ações falam mais alto do que as palavras, pois o comportamento muitas vezes revela intenções verdadeiras melhor do que as declarações.",microsoft azure text translation,Dan
"As ações falam mais alto do que as palavras, destacando o impacto do comportamento na formação das normas sociais.",microsoft azure text translation,Dan
"As ações falam mais alto do que as palavras, indicando que o comportamento fornece informações mais confiáveis do que os enunciados verbais.",microsoft azure text translation,Dan
"As ações falam mais alto do que as palavras, indicando que o comportamento revela verdadeiras intenções e valores.",microsoft azure text translation,Dan
"As ações falam mais alto do que as palavras, indicando que o comportamento revela intenções verdadeiras.",microsoft azure text translation,Dan
"As ações falam mais alto do que as palavras, refletindo seu verdadeiro caráter e intenções.",microsoft azure text translation,Dan
"As ações falam mais alto do que as palavras, então o que você faz muitas vezes importa mais do que o que você diz.",microsoft azure text translation,Dan
"As ações falam mais alto do que as palavras, sugerindo que o comportamento revela verdadeiro caráter e intenções.",microsoft azure text translation,Dan
"Adaptar-se ou perecer, destacando a necessidade de acompanhar os avanços tecnológicos.",microsoft azure text translation,Dan
"Todos os caminhos levam a Roma, indicando muitos caminhos para alcançar um objetivo comum.",microsoft azure text translation,Dan
"Todos os caminhos levam a Roma, significando que muitos caminhos podem levar a um objetivo comum.",microsoft azure text translation,Dan
"Tudo com moderação, ressaltando a importância do equilíbrio na vida.",microsoft azure text translation,Dan
"Todo trabalho e nenhuma brincadeira faz de Jack um garoto sem graça, enfatizando a necessidade de equilibrar trabalho e lazer.",microsoft azure text translation,Dan
"Todo trabalho e nenhuma brincadeira faz de Jack um garoto sem graça, por isso o equilíbrio é importante nas atividades diárias.",microsoft azure text translation,Dan
"Todo trabalho e nenhuma brincadeira faz de Jack um garoto sem graça, então equilibre trabalho com lazer para uma vida gratificante.",microsoft azure text translation,Dan
"Uma maçã por dia afasta o médico, enfatizando a importância de uma alimentação saudável.",microsoft azure text translation,Dan
"Um grama de prevenção vale um quilo de cura, enfatizando o valor de medidas proativas.",microsoft azure text translation,Dan
"Um grama de prevenção vale um quilo de cura, enfatizando o valor de tomar precauções.",microsoft azure text translation,Dan
"A arte e a cultura enriquecem vidas, oferecendo novas perspectivas e inspirando o crescimento pessoal.",microsoft azure text translation,Dan
"A arte dá vida à cor, ilustrando seu poder de valorizar e enriquecer nossas experiências.",microsoft azure text translation,Dan
"A arte aproxima as pessoas, promovendo experiências compartilhadas e entendimento.",microsoft azure text translation,Dan
"A arte tem o poder de transformar a sociedade, inspirando mudanças e desafiando normas.",microsoft azure text translation,Dan
"A arte imita a vida, capturando a essência da experiência humana.",microsoft azure text translation,Dan
"A arte imita a vida, refletindo a realidade e as experiências da condição humana.",microsoft azure text translation,Dan
"A arte é um espelho para a sociedade, refletindo valores e questões culturais.",microsoft azure text translation,Dan
"A arte é um reflexo da sociedade, revelando valores culturais e questões sociais.",microsoft azure text translation,Dan
"A arte é uma linguagem universal, expressando emoções e ideias que transcendem a comunicação verbal.",microsoft azure text translation,Dan
"A arte é a mentira que nos permite perceber a verdade, revelando significados mais profundos através da criatividade.",microsoft azure text translation,Dan
"A arte é a alma da nossa cultura, refletindo seus valores e crenças mais profundos.",microsoft azure text translation,Dan
"A arte é atemporal, preservando emoções e ideias para as gerações futuras.",microsoft azure text translation,Dan
"A arte não conhece fronteiras, transcendendo barreiras culturais e linguísticas para conectar pessoas globalmente.",microsoft azure text translation,Dan
A arte fala onde as palavras são incapazes de explicar.,microsoft azure text translation,Dan
"A arte transcende a linguagem, por isso pode transmitir significado universalmente.",microsoft azure text translation,Dan
"A arte lava da alma o pó da vida cotidiana, oferecendo uma nova perspectiva.",microsoft azure text translation,Dan
"A inteligência artificial está transformando indústrias, automatizando processos e aumentando a eficiência.",microsoft azure text translation,Dan
"Os átomos são principalmente espaço vazio, abrigando elétrons orbitando um núcleo central.",microsoft azure text translation,Dan
"Atitude é tudo, pois uma mentalidade positiva pode influenciar seu sucesso e bem-estar.",microsoft azure text translation,Dan
