statement,statement_r,hash,behavior,everyday,figure_of_speech,judgment,opinion,reasoning,awareness,consensus,commonsensicality
"""A river of tears"" means heavy crying.","""A river of tears"" means heavy crying.",ad832bea29,0,1,0,1,1,0,0.9999994377296546,0.9999974096231619,0.9999984236758941
2 + 2 = 4.,2 + 2 = 4.,4eeeaa2b74,0,1,0,0,0,0,0.9999999930981306,0.9999999949993885,0.9999999940487595
3D printing revolutionizes manufacturing processes.,3D printing revolutionizes manufacturing processes.,c94d87d2b2,0,1,0,1,0,0,0.999303338333231,0.9999479721539188,0.999625603280026
A barking dog seldom bites.,A barking dog seldom bites.,f27f21183b,0,0,0,1,0,1,0.9998655964007264,0.9996156274830253,0.9997406041292919
A bird in the hand.,A bird in the hand.,5ba777aae0,0,0,0,1,0,0,0.9991251576513609,0.9940043098520918,0.996561444561801
A blanket keeps you warm.,A blanket keeps you warm.,72262deecd,0,1,0,0,0,0,0.9999992153845012,0.9999966738941954,0.9999979446385409
A book contains pages of information.,A book contains pages of information.,be079edc97,0,1,0,1,0,0,0.9999999090158656,0.9999994899242088,0.9999996994700152
A calm demeanor eases stressful situations.,A calm demeanor eases stressful situations.,4e7c6a3707,1,1,0,1,1,1,0.9999999828916631,0.999999690623707,0.9999998367576743
A clear goal sets the path.,A clear goal sets the path.,ca4b1d3005,1,0,0,1,1,1,0.99999918292124,0.9999951605468882,0.9999971717320416
A dime a dozen means common.,A dime a dozen means common.,5684e7dd22,0,0,0,1,0,0,0.9999984715937688,0.9999929586473348,0.9999957151167527
A hearty breakfast fuels your day.,A hearty breakfast fuels your day.,23b602541f,0,1,0,1,1,0,0.9999998745405216,0.9999994220085733,0.9999996482745218
A high salt diet is unhealthy.,A high salt diet is unhealthy.,7c9e7442ce,0,1,0,0,0,0,0.9999995922371179,0.9999993450502977,0.9999994686437002
A hot bath relaxes muscles.,A hot bath relaxes muscles.,0a2424b2f6,0,1,0,0,0,0,0.9999998171051118,0.9999993450497608,0.9999995810774085
A hug can mend a heart.,A hug can mend a heart.,5ecf4f6e39,1,1,0,1,1,1,0.9479217300972496,0.7977944884325878,0.8696244774252095
A pat on the back boosts morale.,A pat on the back boosts morale.,26daa60cab,1,1,0,1,1,1,0.9999996583080878,0.9999987763922679,0.9999992173500806
A right angle is exactly 90 degrees.,A right angle is exactly 90 degrees.,64b9920aab,0,1,0,0,0,0,0.999999713603306,0.9999997590570499,0.9999997363301777
A rising tide lifts all boats.,A rising tide lifts all boats.,f7d16a69eb,0,0,0,1,1,0,0.9821716191419424,0.9293468343015839,0.9553942039757333
A river's flow is soothing.,A river's flow is soothing.,399a82edeb,0,1,0,0,1,0,0.9999632250823376,0.9998397517618474,0.9999014865161971
A rolling stone gathers no moss.,A rolling stone gathers no moss.,4f73d0d6a4,0,0,0,0,0,0,0.9989538851518817,0.9995064827301281,0.9992301457410868
A smile is contagious.,A smile is contagious.,8437643835,1,1,0,1,1,0,0.9999994967562357,0.9999977140021058,0.9999986053787735
A stich in time saves nine.,A stich in time saves nine.,f0efefdc69,0,0,0,1,1,1,0.9992936193129972,0.9999868450557565,0.9996401720925147
A tidy space invites calm.,A tidy space invites calm.,b9f7858d23,0,1,0,1,1,0,0.9999999043411648,0.9999987763923078,0.9999993403665772
A warm smile invites friendliness.,A warm smile invites friendliness.,56fbe30193,1,1,0,1,1,1,0.9999998890689523,0.9999996027522523,0.999999745910592
A watched pot never boils.,A watched pot never boils.,8ee0c858a7,0,1,0,1,1,0,0.9351288774252818,0.9565350612694763,0.945771408989957
AI algorithms require quality data input.,AI algorithms require quality data input.,d0b81b6264,0,1,0,0,0,0,0.9975274279034535,0.9999998123534443,0.9987628550966778
AI can improve medical diagnoses.,AI can improve medical diagnoses.,2f0035e1ac,0,1,0,1,0,0,0.9999990600927862,0.9999989201699282,0.9999989901313547
AI can optimize logistics.,AI can optimize logistics.,ec693a4f23,0,1,0,0,0,0,0.999978642704519,0.9999996494300768,0.999989146012137
AI chatbots provide customer support.,AI chatbots provide customer support.,c4d050c4df,0,1,0,1,0,0,0.9999999342547101,0.9999994220084871,0.9999996781315658
AI enhances educational tools.,AI enhances educational tools.,323a4d5acf,0,1,0,1,0,0,0.999998033706123,0.9999929586478882,0.999995496173786
AI ethics address bias concerns.,AI ethics address bias concerns.,a820cf67f6,1,1,0,1,1,0,0.9995635859981461,0.9997942418091942,0.9996789072512713
AI ethics ensure fair algorithms.,AI ethics ensure fair algorithms.,64633d3f1c,1,1,0,1,1,0,0.999985499512501,0.9999331955043121,0.9999593471664291
Abraham Lincoln delivered the Gettysburg Address.,Abraham Lincoln delivered the Gettysburg Address.,2ecccebac9,1,1,0,1,1,0,0.9999999946032906,0.9999999309686779,0.9999999627859837
Abraham Lincoln was the 16th President of the USA.,Abraham Lincoln was the 16th President of the USA.,cd3dd4111b,1,0,0,1,1,0,0.9999999781983478,0.9999998123534292,0.9999998952758851
Absence makes the heart grow fonder.,Absence makes the heart grow fonder.,6e80137a14,1,0,0,1,1,1,0.9999977761922445,0.9999897549005982,0.9999937655383786
Abstract algebra studies algebraic structures.,Abstract algebra studies algebraic structures.,038e74fc04,0,1,0,0,0,0,0.9964211413354059,0.999941044948402,0.9981795416034157
