statement,elicitation,committer
1 плюс 1 равно 2.,Amazon Translate,Amir
5 значительно больше 1.,Amazon Translate,Amir
Для поддержания здоровья необходимо сбалансированное питание и регулярные физические упражнения.,Amazon Translate,Amir
Мяч круглый.,Amazon Translate,Amir
Вертящий дубинку не захочет сломать палец.,Amazon Translate,Amir
Батарея не может обеспечивать питание бесконечно.,Amazon Translate,Amir
Обычно никому не нужен счет.,Amazon Translate,Amir
День рождения может вдохновить кого-то испечь торт.,Amazon Translate,Amir
День рождения может побудить кого-то купить подарок любимому человеку.,Amazon Translate,Amir
"Христиане обычно совершают богослужения в здании, называемом церковью.",Amazon Translate,Amir
Кошка обычно не любит купаться.,Amazon Translate,Amir
"Кошке не нравится, когда ей дергают за хвост.",Amazon Translate,Amir
Кошка не любит мокрый.,Amazon Translate,Amir
Кошка предпочитает не промокать.,Amazon Translate,Amir
Кошка — это вид кошек.,Amazon Translate,Amir
"Знаменитость — это человек, который всю жизнь усердно работает, чтобы стать известным, а затем часто носит солнцезащитные очки, чтобы его не узнали.",Amazon Translate,Amir
Ребенок не станет смеяться над уродством своей матери.,Amazon Translate,Amir
Круг круглый.,Amazon Translate,Amir
Включить компьютер можно нажатием кнопки питания.,Amazon Translate,Amir
Компьютерный вирус неживой.,Amazon Translate,Amir
"Диванчик должен вести образ жизни, способствующий хорошему здоровью и физической форме.",Amazon Translate,Amir
Преступление обычно влечет за собой судебное разбирательство.,Amazon Translate,Amir
Глухой муж и слепая жена часто считаются гармоничной парой.,Amazon Translate,Amir
"В демократическом государстве два волка и маленький ягненок могут голосовать за то, что съесть на ужин. Однако в конституционной республике хорошо вооруженный ягненок может принять участие в голосовании.",Amazon Translate,Amir
"Если кто-то хочет поделиться знаниями, он может учить других.",Amazon Translate,Amir
Другой язык предлагает другой взгляд на жизнь.,Amazon Translate,Amir
"Врач и фермер обладают более широкими знаниями, чем врач в одиночку.",Amazon Translate,Amir
Собаке не нужны блохи.,Amazon Translate,Amir
"Фанатик — это тот, кто укоренился в своем мышлении и часто избегает смены темы.",Amazon Translate,Amir
