statement,elicitation,committer
"Une abeille occupée n’a pas de temps pour le chagrin, ce qui souligne l’avantage de rester occupé dans des activités épanouissantes.",microsoft azure text translation,Dan
"Un esprit sain dans un corps sain, donc la forme mentale et physique est essentielle.",microsoft azure text translation,Dan
"Un esprit sain dans un corps sain, suggérant l’importance de la forme mentale et physique.",microsoft azure text translation,Dan
"Un voyage de mille kilomètres commence par un seul pas, alors commencez votre parcours de remise en forme dès aujourd’hui.",microsoft azure text translation,Dan
"Un peu de progrès chaque jour s’ajoute à de grands résultats, soulignant l’importance de la cohérence dans la santé et la forme physique.",microsoft azure text translation,Dan
"Un peu de progrès chaque jour s’ajoute à de grands résultats, soulignant l’importance des efforts quotidiens en matière de santé et de forme physique.",microsoft azure text translation,Dan
"Une image vaut mille mots, soulignant l’impact profond de l’art visuel.",microsoft azure text translation,Dan
"Une image vaut mille mots, donc les images peuvent transmettre un sens profond.",microsoft azure text translation,Dan
"Une marée montante soulève tous les bateaux, ce qui suggère que les améliorations sociétales profitent à tous.",microsoft azure text translation,Dan
"Une pierre qui roule n’accumule pas de mousse, donc se déplacer fréquemment peut empêcher la stagnation.",microsoft azure text translation,Dan
"Une pierre qui roule n’accumule pas de mousse, ce qui suggère que ceux qui se déplacent fréquemment évitent la stagnation.",microsoft azure text translation,Dan
"Un point dans le temps en sauve neuf, donc traiter rapidement les petits problèmes de santé peut prévenir des problèmes plus importants.",microsoft azure text translation,Dan
"Un point dans le temps en économise neuf, donc des mesures proactives sont bénéfiques.",microsoft azure text translation,Dan
"Un point dans le temps en économise neuf, ce qui suggère que le fait de résoudre les problèmes tôt permet d’éviter des problèmes plus importants.",microsoft azure text translation,Dan
"Une marmite surveillée ne bout jamais, il est donc préférable d’être patient.",microsoft azure text translation,Dan
"Une casserole surveillée ne bout jamais, ce qui suggère qu’être trop concentré sur une tâche peut la rendre plus longue.",microsoft azure text translation,Dan
"Les actions vous définissent, car les gens vous jugent souvent en fonction de ce que vous faites plutôt que de ce que vous dites.",microsoft azure text translation,Dan
Les actions sont plus éloquentes que les mots pour façonner les événements historiques et leur impact.,microsoft azure text translation,Dan
Les actions sont plus éloquentes que les mots lorsqu’il s’agit de montrer un engagement.,microsoft azure text translation,Dan
"Les actions sont plus éloquentes que les mots, car le comportement révèle souvent mieux les vraies intentions que les déclarations.",microsoft azure text translation,Dan
"Les actions sont plus éloquentes que les mots, soulignant l’impact du comportement sur la formation des normes sociales.",microsoft azure text translation,Dan
"Les actions parlent plus fort que les mots, indiquant que le comportement fournit des informations plus fiables que les déclarations verbales.",microsoft azure text translation,Dan
"Les actions sont plus éloquentes que les mots, ce qui indique que le comportement révèle les véritables intentions et valeurs.",microsoft azure text translation,Dan
"Les actions parlent plus fort que les mots, indiquant que le comportement révèle de vraies intentions.",microsoft azure text translation,Dan
"Les actions parlent plus fort que les mots, reflétant votre véritable caractère et vos intentions.",microsoft azure text translation,Dan
