source_file,group_number,lng,line_and_statement
raw_statements/email_statements_ar.csv,1,ar,"{2958: 'إن التسريح يجبر الناس على البحث عن عمل أثناء عدم اليقين الاقتصادي.', 3260: 'إن التسريح يجبر الناس على البحث عن عمل أثناء عدم اليقين الاقتصادي.'}"
raw_statements/email_statements_ar.csv,2,ar,"{3760: 'ابق في المنزل إذا كنت مريضًا', 3996: 'ابق في المنزل إذا كنت مريضًا'}"
raw_statements/email_statements_ar.csv,3,ar,"{738: 'الإعلانات التلفزيونية هي طريقة شائعة تستخدم في الحملات السياسية.', 2465: 'الإعلانات التلفزيونية هي طريقة شائعة تستخدم في الحملات السياسية.'}"
raw_statements/email_statements_ar.csv,4,ar,"{365: 'الانتخابات لها مواعيد نهائية لجمع التبرعات.', 762: 'الانتخابات لها مواعيد نهائية لجمع التبرعات.'}"
raw_statements/email_statements_ar.csv,5,ar,"{243: 'البريد الإلكتروني هو طريقة شائعة للحملات السياسية للتواصل مع المؤيدين.', 636: 'البريد الإلكتروني هو طريقة شائعة للحملات السياسية للتواصل مع المؤيدين.'}"
raw_statements/email_statements_ar.csv,6,ar,"{598: 'التشرد مشكلة تواجهها المجتمعات.', 760: 'التشرد مشكلة تواجهها المجتمعات.'}"
raw_statements/email_statements_ar.csv,7,ar,"{2334: 'الحملات السياسية لها مواعيد نهائية لجمع التبرعات.', 2535: 'الحملات السياسية لها مواعيد نهائية لجمع التبرعات.'}"
raw_statements/email_statements_ar.csv,8,ar,"{3532: 'الرعاية الصحية بأسعار معقولة مهمة للمجتمع.', 3563: 'الرعاية الصحية بأسعار معقولة مهمة للمجتمع.'}"
raw_statements/email_statements_ar.csv,9,ar,"{210: 'الضمان الاجتماعي والرعاية الطبية هي برامج تهدف إلى حماية رفاهية الأفراد.', 321: 'الضمان الاجتماعي والرعاية الطبية هي برامج تهدف إلى حماية رفاهية الأفراد.'}"
raw_statements/email_statements_ar.csv,10,ar,"{426: 'المتطوعون مهمون للحملات السياسية.', 2051: 'المتطوعون مهمون للحملات السياسية.'}"
raw_statements/email_statements_ar.csv,11,ar,"{3634: 'تجنب الاتصال الوثيق مع الأشخاص المرضى.', 3836: 'تجنب الاتصال الوثيق مع الأشخاص المرضى.'}"
raw_statements/email_statements_ar.csv,12,ar,"{1990: 'تحتاج الأسر العاملة إلى الدعم.', 2044: 'تحتاج الأسر العاملة إلى الدعم.'}"
raw_statements/email_statements_ar.csv,13,ar,"{2459: 'تستخدم الحملات السياسية الإعلانات التلفزيونية والإعلانات الرقمية والبريد للوصول إلى الناخبين.', 2689: 'تستخدم الحملات السياسية الإعلانات التلفزيونية والإعلانات الرقمية والبريد للوصول إلى الناخبين.'}"
raw_statements/email_statements_ar.csv,14,ar,"{357: 'تغير المناخ هو قضية مهمة تحتاج إلى معالجة.', 493: 'تغير المناخ هو قضية مهمة تحتاج إلى معالجة.'}"
raw_statements/email_statements_ar.csv,15,ar,"{367: 'تغير المناخ هو موضوع يتناوله السياسيون.', 3024: 'تغير المناخ هو موضوع يتناوله السياسيون.'}"
raw_statements/email_statements_ar.csv,16,ar,"{208: 'تغير المناخ هو موضوع يهدف بعض السياسيين إلى معالجته.', 612: 'تغير المناخ هو موضوع يهدف بعض السياسيين إلى معالجته.', 2910: 'تغير المناخ هو موضوع يهدف بعض السياسيين إلى معالجته.'}"
raw_statements/email_statements_ar.csv,17,ar,"{2802: 'تقدم الحملات السياسية أحيانًا البضائع مقابل التبرعات.', 3423: 'تقدم الحملات السياسية أحيانًا البضائع مقابل التبرعات.'}"
raw_statements/email_statements_ar.csv,18,ar,"{2052: 'تهدف القروض المخصصة لأصحاب الأعمال الصغيرة المتأثرين بالوباء إلى إنقاذ الوظائف.', 2379: 'تهدف القروض المخصصة لأصحاب الأعمال الصغيرة المتأثرين بالوباء إلى إنقاذ الوظائف.'}"
raw_statements/email_statements_ar.csv,19,ar,"{1918: 'حماية البيئة هي مصدر قلق لبعض الأفراد.', 2176: 'حماية البيئة هي مصدر قلق لبعض الأفراد.'}"
raw_statements/email_statements_ar.csv,20,ar,"{576: 'حماية الضمان الاجتماعي والرعاية الطبية مهمة لكثير من الناس.', 1891: 'حماية الضمان الاجتماعي والرعاية الطبية مهمة لكثير من الناس.'}"
raw_statements/email_statements_ar.csv,21,ar,"{697: 'رسائل البريد الإلكتروني هي طريقة شائعة للحملات السياسية للتواصل مع المؤيدين.', 3049: 'رسائل البريد الإلكتروني هي طريقة شائعة للحملات السياسية للتواصل مع المؤيدين.'}"
raw_statements/email_statements_ar.csv,22,ar,"{687: 'رسائل البريد الإلكتروني هي طريقة شائعة للسياسيين للتواصل مع المؤيدين وطلب التبرعات.', 3148: 'رسائل البريد الإلكتروني هي طريقة شائعة للسياسيين للتواصل مع المؤيدين وطلب التبرعات.'}"
raw_statements/email_statements_ar.csv,23,ar,"{268: 'رسائل البريد الإلكتروني هي طريقة شائعة للسياسيين للتواصل مع المؤيدين.', 3323: 'رسائل البريد الإلكتروني هي طريقة شائعة للسياسيين للتواصل مع المؤيدين.'}"
raw_statements/email_statements_ar.csv,24,ar,"{318: 'رفض المناقشة يحرم الناخبين من فرصة التعرف على المرشحين.', 3109: 'رفض المناقشة يحرم الناخبين من فرصة التعرف على المرشحين.'}"
raw_statements/email_statements_ar.csv,25,ar,"{1775: 'غالبًا ما تتواصل الحملات السياسية مع المؤيدين عبر البريد الإلكتروني.', 1835: 'غالبًا ما تتواصل الحملات السياسية مع المؤيدين عبر البريد الإلكتروني.'}"
raw_statements/email_statements_ar.csv,26,ar,"{2462: 'غالبًا ما تتواصل الحملات مع المؤيدين عبر البريد الإلكتروني.', 2692: 'غالبًا ما تتواصل الحملات مع المؤيدين عبر البريد الإلكتروني.'}"
raw_statements/email_statements_ar.csv,27,ar,"{304: 'غالبًا ما تطلب الحملات السياسية التبرعات.', 546: 'غالبًا ما تطلب الحملات السياسية التبرعات.'}"
raw_statements/email_statements_ar.csv,28,ar,"{20: 'غالبًا ما تطلب الحملات السياسية تبرعات لتمويل أنشطتها.', 845: 'غالبًا ما تطلب الحملات السياسية تبرعات لتمويل أنشطتها.'}"
raw_statements/email_statements_ar.csv,29,ar,"{40: 'غالبًا ما تطلب الحملات السياسية تبرعات لدعم جهودها.', 425: 'غالبًا ما تطلب الحملات السياسية تبرعات لدعم جهودها.'}"
raw_statements/email_statements_ar.csv,30,ar,"{661: 'غالبًا ما تطلب الحملات السياسية تبرعات من المؤيدين.', 1603: 'غالبًا ما تطلب الحملات السياسية تبرعات من المؤيدين.', 2293: 'غالبًا ما تطلب الحملات السياسية تبرعات من المؤيدين.'}"
raw_statements/email_statements_ar.csv,31,ar,"{622: 'غالبًا ما تطلب الحملات السياسية مساهمات من المؤيدين.', 3342: 'غالبًا ما تطلب الحملات السياسية مساهمات من المؤيدين.'}"
raw_statements/email_statements_ar.csv,32,ar,"{634: 'غالبًا ما تطلب الحملات تبرعات لدعم جهودها السياسية.', 2916: 'غالبًا ما تطلب الحملات تبرعات لدعم جهودها السياسية.'}"
raw_statements/email_statements_ar.csv,33,ar,"{236: 'غالبًا ما تطلب الحملات تبرعات لدعم جهودها.', 767: 'غالبًا ما تطلب الحملات تبرعات لدعم جهودها.'}"
raw_statements/email_statements_ar.csv,34,ar,"{564: 'غالبًا ما تعتمد الحملات السياسية على التبرعات من الأفراد.', 3329: 'غالبًا ما تعتمد الحملات السياسية على التبرعات من الأفراد.'}"
raw_statements/email_statements_ar.csv,35,ar,"{488: 'غالبًا ما تعتمد الحملات السياسية على الدعم الشعبي.', 579: 'غالبًا ما تعتمد الحملات السياسية على الدعم الشعبي.'}"
raw_statements/email_statements_ar.csv,36,ar,"{540: 'غالبًا ما تعتمد الحملات السياسية على تبرعات المؤيدين.', 3348: 'غالبًا ما تعتمد الحملات السياسية على تبرعات المؤيدين.'}"
raw_statements/email_statements_ar.csv,37,ar,"{2794: 'غالبًا ما تعتمد حملات إعادة الانتخاب على دعم الأفراد على مستوى القاعدة الشعبية.', 3375: 'غالبًا ما تعتمد حملات إعادة الانتخاب على دعم الأفراد على مستوى القاعدة الشعبية.'}"
raw_statements/email_statements_ar.csv,38,ar,"{821: 'غالبًا ما يطلب السياسيون التبرعات لدعم حملاتهم.', 3021: 'غالبًا ما يطلب السياسيون التبرعات لدعم حملاتهم.'}"
raw_statements/email_statements_ar.csv,39,ar,"{2223: 'غالبًا ما يكون لحملات جمع التبرعات مواعيد نهائية.', 3631: 'غالبًا ما يكون لحملات جمع التبرعات مواعيد نهائية.'}"
raw_statements/email_statements_ar.csv,40,ar,"{2318: 'غالبًا ما يكون للحملات السياسية مواعيد نهائية لجمع التبرعات.', 3072: 'غالبًا ما يكون للحملات السياسية مواعيد نهائية لجمع التبرعات.'}"
