statement,elicitation,committer
Most people consider any depiction of their religious prophets to be respectful.,GPT_news,Amir
There is little evidence that cutting the income tax or other taxes creates jobs or attracts business.,GPT_news,Amir
Romance is not among the humanitarian reasons for which Israel allows Palestinians to travel from Gaza to the West Bank.,GPT_news,Amir
Money is oxygen for terrorism.,GPT_news,Amir
Too much power in the hands of one man can lead to catastrophe.,GPT_news,Amir
National revulsion helped President Lyndon B. Johnson push the Voting Rights Act through Congress within five months.,GPT_news,Amir
Politicians often tailor their speech and appearance to connect with different audiences.,GPT_news,Amir
Airlines are responsible in cases of accidental death or injury on international flights.,GPT_news,Amir
Unauthorized tapping of a gas line is dangerous.,GPT_news,Amir
People with severe Alzheimer's may not remember their family members' names.,GPT_news,Amir
People generally need sleep to function.,GPT_news,Amir
Stealing confidential computer trading code from a bank is illegal.,GPT_news,Amir
Dead birds can be a sign of a toxic environment.,GPT_news,Amir
Wearing seat belts can prevent occupants from being ejected in a car crash.,GPT_news,Amir
The future of the sport lies with women.,GPT_news,Amir
Former lawmakers often become lobbyists after leaving office.,GPT_news,Amir
We should all want to ensure that all eligible voters can exercise their right to vote and have their vote counted.,GPT_news,Amir
People generally expect their government to balance national security and civil liberties.,GPT_news,Amir
Taxpayers should have received substantial compensation for the risk they took.,GPT_news,Amir
Gun violence is a divisive topic in the presidential campaign.,GPT_news,Amir
Keeping dogs on leashes and feeding pets only indoors are common sense measures to prevent conflicts with wildlife such as coyotes.,GPT_news,Amir
People generally prefer to vote for candidates who they believe are honest and have the country's best interests at heart.,GPT_news,Amir
Most people should be treated with respect and dignity regardless of their sexual orientation.,GPT_news,Amir
People often take pride in their local connections to successful individuals.,GPT_news,Amir
Gun violence experts are increasingly interested in changing laws to better target those who have a demonstrated propensity for gun violence.,GPT_news,Amir
Countries often voice their concerns about international agreements that they believe pose a threat to their security.,GPT_news,Amir
Destroying evidence can make a person appear guilty.,GPT_news,Amir
Manufacturing costs in the United States are becoming more competitive due to factors such as lower energy prices and local tax breaks.,GPT_news,Amir
The Voting Rights Act of 1965 was designed to prevent racial discrimination in voting.,GPT_news,Amir
Driving without a valid driver's license can lead to fines or legal issues.,GPT_news,Amir
A military alliance is a blood alliance.,GPT_news,Amir
Borders are typically defined and agreed upon by the governments of neighboring countries.,GPT_news,Amir
"Employees are expected to embrace ""frugality"".",GPT_news,Amir
Children shouldn't be firing automatic weapons.,GPT_news,Amir
Gorillas live in troops.,GPT_news,Amir
Employers are generally expected to comply with labor laws and protect workers' rights.,GPT_news,Amir
"Unarmed people should not end up dead, even if they are suspected of wrongdoing.",GPT_news,Amir
Education is important for personal development and career success.,GPT_news,Amir
Fingerprints cannot be changed.,GPT_news,Amir
Freedom of navigation according to international law is important for global trade.,GPT_news,Amir
Most people are interested in more than just making money.,GPT_news,Amir
The most effective way to dampen a hungry bear’s enthusiasm for garbage is to use bear-resistant trash cans.,GPT_news,Amir
Sometimes the whiff of scandal can be worse than any actual scandal.,GPT_news,Amir
People can change their lives for the better after making mistakes.,GPT_news,Amir
Most people agree that only U.S. citizens should be allowed to vote in U.S. elections.,GPT_news,Amir
It's common sense that the media plays a significant role in shaping public narratives and perceptions.,GPT_news,Amir
A national election is not a popularity contest.,GPT_news,Amir
"Discrimination based on factors such as race, religion, and sexual orientation is generally outlawed.",GPT_news,Amir
"With the growth in mobile devices, sexting has become even more prevalent than when it first received widespread attention.",GPT_news,Amir
People generally agree that memorization is a skill that can be demonstrated by reciting information from memory.,GPT_news,Amir
Genetically engineered animals are subject to regulatory approval before they can be sold for consumption.,GPT_news,Amir
Each juror is entitled to his or her opinion.,GPT_news,Amir
It cannot be this easy for somebody who wants to inflict harm on other people to get his or her hands on a gun.,GPT_news,Amir
Bridges are commonly used to span bodies of water and connect different areas.,GPT_news,Amir
The gun should never be an option.,GPT_news,Amir
