statement,elicitation,committer
大多数人认为任何对他们的宗教先知的描述都是尊重的。,microsoft azure text translation,Dan
几乎没有证据表明削减所得税或其他税收可以创造就业机会或吸引企业。,microsoft azure text translation,Dan
浪漫不是以色列允许巴勒斯坦人从加沙前往约旦河西岸的人道主义原因之一。,microsoft azure text translation,Dan
金钱是恐怖主义的氧气。,microsoft azure text translation,Dan
一个人手中的权力过大会导致灾难。,microsoft azure text translation,Dan
全国的反感帮助林登·约翰逊（Lyndon B. Johnson）总统在五个月内推动了《投票权法案》（Voting Rights Act）在国会获得通过。,microsoft azure text translation,Dan
政客们经常调整他们的演讲和外表，以与不同的受众建立联系。,microsoft azure text translation,Dan
航空公司对国际航班上的意外死亡或伤害负责。,microsoft azure text translation,Dan
未经授权窃听燃气管道是危险的。,microsoft azure text translation,Dan
患有严重阿尔茨海默氏症的人可能不记得家人的名字。,microsoft azure text translation,Dan
人们通常需要睡眠才能发挥作用。,microsoft azure text translation,Dan
从银行窃取机密计算机交易代码是非法的。,microsoft azure text translation,Dan
死鸟可能是有毒环境的征兆。,microsoft azure text translation,Dan
系好安全带可以防止乘员在车祸中被弹出。,microsoft azure text translation,Dan
这项运动的未来在于女性。,microsoft azure text translation,Dan
前立法者经常在卸任后成为说客。,microsoft azure text translation,Dan
我们都应该确保所有合格的选民都能行使投票权，并计算他们的选票。,microsoft azure text translation,Dan
人们普遍期望他们的政府能够平衡国家安全和公民自由。,microsoft azure text translation,Dan
纳税人应该为他们所承担的风险获得大量赔偿。,microsoft azure text translation,Dan
枪支暴力是总统竞选中的一个分裂话题。,microsoft azure text translation,Dan
用皮带拴住狗并只在室内喂养宠物是防止与土狼等野生动物发生冲突的常识性措施。,microsoft azure text translation,Dan
人们通常更愿意投票给他们认为诚实并把国家的最大利益放在心上的候选人。,microsoft azure text translation,Dan
大多数人无论性取向如何，都应该得到尊重和尊严的对待。,microsoft azure text translation,Dan
人们经常为他们与成功人士的本地联系感到自豪。,microsoft azure text translation,Dan
枪支暴力专家对修改法律越来越感兴趣，以更好地针对那些有枪支暴力倾向的人。,microsoft azure text translation,Dan
各国经常对他们认为对其安全构成威胁的国际协议表示关切。,microsoft azure text translation,Dan
销毁证据可以使一个人看起来有罪。,microsoft azure text translation,Dan
由于能源价格下降和地方税收减免等因素，美国的制造成本正变得越来越有竞争力。,microsoft azure text translation,Dan
1965年的《投票权法》旨在防止投票中的种族歧视。,microsoft azure text translation,Dan
